Act   Max   Min   Avg
0   0   0   -nan
13006   132406   11541   13700.155184
13388   132406   11541   14003.633787
12186   132406   11541   14180.419756
12557   132406   11541   14223.956846
28544   132406   11541   14209.059922
13061   132406   11541   14231.726569
14302   191410   11541   14234.384129
11981   191410   11541   14195.211870
27139   191410   11541   14150.502929
12847   191410   11502   14126.153835
13425   191410   11502   14102.684089
12380   191410   11502   14089.461036
22093   191410   11502   14114.898339
12953   191410   11491   14103.013521
11997   191410   11473   14092.714339
12361   191410   11460   14084.403476
24806   191410   11460   14083.717493
12459   191410   11460   14088.022670
15433   191410   11460   14079.232132
20404   191410   11460   14081.041954
18444   191410   11460   14086.178772
12161   191410   11029   14079.940053
12466   191410   11029   14105.195681
12101   191410   11029   14113.498275
11973   191410   11029   14111.275869
12092   191410   11029   14112.659642
11930   191410   11029   14114.720090
14352   191410   11029   14108.431135
15259   191410   11029   14129.250050
19994   191410   11029   14134.907425
12177   191410   11029   14128.253202
12860   191410   11029   14132.354817
24292   191410   10951   14129.394090
27458   191410   10951   14121.172296
12540   191410   10951   14125.276084
12363   191410   10951   14129.666982
17782   191410   10951   14136.374168
14832   191410   10951   14138.721411
12447   191410   10951   14142.326732
11807   191410   10951   14140.341940
12570   191410   10951   14139.932206
13642   191410   10951   14144.009929
21009   191410   10951   14144.533305
12288   191410   10951   14144.819021
22142   191410   10951   14141.763643
26590   191410   10951   14148.775247
13815   191410   10951   14148.970959
25491   191410   10951   14150.859142
14175   191410   10951   14159.256238
12330   191410   10951   14163.150156
13203   191410   10951   14159.943012
26438   191410   10951   14160.540146
13141   191410   10951   14162.117086
11951   191410   10951   14173.818451
11873   191410   10951   14168.595587
19583   191410   10951   14164.464296
27857   191410   10951   14160.102582
14939   191410   10951   14155.694059
13907   191410   10951   14151.479907
23340   191410   10951   14151.446143
28300   191410   10951   14156.041882
12252   191410   10951   14164.134151
33167   191410   10951   14173.901697
14671   191410   10951   14179.727441
30646   191410   10951   14185.140967
12790   191410   10951   14188.365155
11887   191410   10951   14191.272632
12235   191410   10951   14193.844534
25261   191410   10951   14196.945862
12126   191410   10951   14198.684858
18590   191410   10951   14207.479634
12413   191410   10951   14202.846513
19370   191410   10951   14202.119733
24778   191410   10951   14203.842687
13207   191410   10951   14203.696394
12262   191410   10951   14201.229778
14513   191410   10951   14204.427229
13040   191410   10951   14215.149573
11866   191410   10951   14225.035744
14331   191410   10951   14225.420673
12219   191410   10951   14220.306835
14080   191410   10951   14215.278598
14661   191410   10951   14210.810320
13794   191410   10951   14206.530055
27714   191410   10951   14208.581361
12321   191410   10951   14206.714822
12265   191410   10951   14204.892310
24924   191410   10951   14202.690445
13108   191410   10951   14201.112069
12089   191410   10951   14199.156572
15539   191410   10951   14197.778410
16126   191410   10951   14194.890331
25180   191410   10951   14189.129831
13283   191410   10951   14185.144883
12439   191410   10951   14181.422915
23057   191410   10951   14177.655396
13069   191410   10951   14173.997890
12133   191410   10951   14171.309344
25856   191410   10951   14170.002150
11943   191410   10951   14169.567615
12281   191410   10951   14168.115891
19125   191410   10951   14166.469513
12206   191410   10951   14165.923815
12021   191410   10951   14163.166819
22412   191410   10951   14160.794595
11777   191410   10951   14159.612309
12279   191410   10951   14157.114725
28672   191410   10951   14155.861264
29405   191410   10951   14155.941333
11949   191410   10951   14155.133835
11861   191410   10951   14151.129327
13695   191410   10951   14149.576326
11745   191410   10951   14149.335771
22975   191410   10951   14149.068310
12006   191410   10951   14148.808787
14451   191410   10951   14147.745956
12161   191410   10951   14147.396910
23946   191410   10951   14147.831356
12676   191410   10951   14148.582848
14031   191410   10951   14149.297338
12219   191410   10951   14149.222716
12113   191410   10951   14146.830494
12684   191410   10951   14146.409038
20737   191410   10951   14146.325012
12018   191410   10951   14146.550608
11983   191410   10951   14146.093667
14094   191410   10951   14144.720589
11914   191410   10951   14144.759687
12016   191410   10951   14145.585510
22425   191410   10951   14145.674807
12171   191410   10951   14145.383987
24300   191410   10951   14144.218742
13685   191410   10951   14144.109743
11824   191410   10951   14144.172578
15931   191410   10951   14143.564848
11925   191410   10951   14143.674773
17382   191410   10951   14143.279706
12544   191410   10951   14143.033358
11855   191410   10951   14143.186497
12102   191410   10951   14143.618964
12264   191410   10951   14143.851844
18539   191410   10951   14143.175854
12246   191410   10951   14142.880777
12790   191410   10951   14143.694714
12905   191410   10951   14144.123149
11872   191410   10951   14144.730335
11950   191410   10951   14144.977742
12536   191410   10951   14144.577688
22580   191410   10951   14144.370626
12014   191410   10951   14143.908431
15308   191410   10951   14142.803199
11926   191410   10951   14141.229098
12628   191410   10951   14141.222961
