Act   Max   Min   Avg
0   0   0   -nan
18058   37867   12099   17550.991063
18549   48712   11782   17212.999502
18812   48712   11622   16964.771761
18164   48712   11622   16815.621340
19207   48712   11622   17101.326441
13538   48712   11620   17119.425303
18197   48712   11620   17283.863501
17428   48712   11620   17445.601021
27122   48712   11527   17475.285225
24697   48712   11527   17483.122784
21695   48712   11527   17596.084902
23034   48712   11527   17668.254378
25305   48712   11527   17685.514172
14895   48712   11527   17703.225921
21866   48712   11527   17764.237501
19245   163843   11527   17786.959656
15212   163843   11527   17856.012132
32731   163843   11527   18100.107501
24918   163843   11527   18325.612851
13169   163843   11527   18401.179716
14072   163843   11527   18249.395918
14389   163843   11318   18168.654573
16198   163843   11318   18142.644798
13200   163843   11318   18103.612188
12797   163843   11318   18076.786187
14136   163843   11318   18058.726350
19162   163843   11318   17996.847329
17776   163843   11318   17983.613485
18032   163843   11318   17986.138111
16571   163843   11318   17966.549009
16298   163843   11318   17961.416739
16632   163843   11318   17964.707212
24721   163843   11318   17963.421961
18486   163843   11318   17974.790519
18943   163843   11318   17977.303162
15908   163843   11318   17992.781093
20560   163843   11318   18003.469388
35260   163843   11318   17989.535287
20897   163843   11318   17967.377794
18084   163843   11318   17908.953825
22859   163843   11318   17894.932384
13480   163843   11318   17905.063595
18649   163843   11318   17912.275821
17046   163843   11318   17858.428339
24351   163843   11318   17878.912489
13586   163843   11318   17903.892550
26156   163843   11318   17914.428136
27923   163843   11318   17910.549852
25295   163843   11318   17937.784897
30830   163843   11318   17991.753775
25340   163843   11318   18044.735362
16709   163843   11318   18076.574173
15722   163843   11318   18069.799278
18202   163843   11318   18072.054694
20206   163843   11318   18086.368151
26461   163843   11318   18117.374533
15984   163843   11318   18141.863991
29612   163843   11318   18197.172724
21714   163843   11318   18251.380973
22132   163843   11318   18299.876260
31956   163843   11318   18360.948959
30857   163843   11318   18405.028429
24283   163843   11318   18396.558450
14080   163843   11318   18345.592355
13282   163843   11318   18297.779011
12548   163843   11318   18233.542529
13170   163843   11318   18175.731994
13544   163843   11318   18114.129863
23964   163843   11318   18082.596842
13697   163843   11318   18050.286845
