Act   Max   Min   Avg
0   0   0   -nan
17550   35385   11561   13145.904421
23673   180827   11559   12988.077552
26759   180827   11517   12945.674628
12129   180827   11517   13009.277497
30111   180827   11517   13018.890420
15388   180827   11517   13011.652663
12361   180827   11509   13038.485335
29752   180827   11363   13076.690043
12155   180827   11363   13087.522287
11971   180827   11363   13102.648887
28686   180827   11363   13123.961671
27320   180827   11363   13137.236388
12037   180827   11363   13143.893053
12032   180827   11363   13152.775474
11898   185809   11363   13164.609277
11925   185809   11363   13183.235655
12494   185809   11363   13201.237933
12467   185809   11199   13191.322819
13100   185809   11199   13177.709077
11740   185809   10214   13173.219488
14414   185809   10126   13104.865110
11168   185809   10126   13047.630473
13409   185809   10126   12995.451692
11175   185809   10126   12961.465085
14637   185809   9695   12947.729592
21465   185809   9695   12937.777432
10694   185809   9695   12930.741049
10878   185809   9695   12915.523572
11408   185809   9695   12887.615096
11450   185809   9695   12866.281878
11098   185809   9695   12845.429564
11660   185809   9695   12827.093537
11754   185809   9695   12806.444662
29412   185809   9695   12792.031243
30344   185809   9695   12781.735574
32697   185809   9695   12774.023886
27939   185809   9695   12768.141551
25576   185809   9695   12758.959582
18661   185809   9695   12754.387126
28843   185809   9695   12757.696741
16008   185809   9695   12759.211302
19086   185809   9695   12756.739185
11958   185809   9695   12762.694881
28002   185809   9695   12767.588655
24080   185809   9695   12777.398104
12371   185809   9695   12779.802396
30605   185809   9695   12784.870167
12342   185809   9695   12790.295293
11893   185809   9695   12793.958208
29140   185809   9695   12799.399730
24891   185809   9695   12805.272465
12874   185809   9695   12817.548549
15920   185809   9695   12835.897812
15717   185809   9695   12850.907155
12409   185809   9695   12862.923047
15233   185809   9695   12880.048463
14468   185809   9695   12898.898329
12175   185809   9695   12920.975521
12668   185809   9695   12936.853804
29129   185809   9695   12944.609658
11259   185809   9695   12936.560783
12524   185809   9695   12940.356984
30012   185809   9695   12944.765844
27804   185809   9695   12951.013652
12282   185809   9695   12946.206080
12119   185809   9695   12939.792599
12054   185809   9695   12934.242108
12084   185809   9695   12927.861200
13603   185809   9695   12927.876276
20722   185809   9695   12930.420534
12005   185809   9695   12930.036914
12130   185809   9695   12932.547188
13181   185809   9695   12939.795827
23682   185809   9695   12946.048516
22952   185809   9695   12951.792305
12190   185809   9695   12957.674493
19360   185809   9695   12962.004536
14427   185809   9695   12966.099363
12219   185809   9695   12973.462392
20489   185809   9695   12978.604618
23093   185809   9695   12981.784715
27432   185809   9695   12983.724521
23804   185809   9695   12984.919014
17375   185809   9695   12988.290996
23125   185809   9695   12990.440423
25160   185809   9695   12995.393139
12321   185809   9695   12998.256065
23390   185809   9695   12999.256205
12189   185809   9695   13000.249628
29740   185809   9695   13001.491564
12072   185809   9695   13004.453007
31281   185809   9695   13007.330482
24092   185809   9695   13010.646589
25942   185809   9695   13014.017293
21723   185809   9695   13018.332993
14277   185809   9695   13022.632465
22731   185809   9695   13024.053646
12175   185809   9695   13024.426870
12017   185809   9695   13024.627992
12097   185809   9695   13025.327078
26433   185809   9695   13025.981052
12270   185809   9695   13022.544910
12419   185809   9695   13019.567204
19450   185809   9695   13020.455726
17720   185809   9695   13021.376848
12001   185809   9695   13021.950649
12073   196051   9695   13021.361565
12608   196051   9695   13019.862141
12225   196051   9695   13018.186582
12450   196051   9695   13017.137596
34040   196051   9695   13015.850901
12324   196051   9695   13015.120006
11861   196051   9695   13014.666904
12569   196051   9695   13011.459411
13248   196051   9695   13007.669836
13960   196051   9695   13003.604894
12799   196051   9695   12999.995210
11835   196051   9695   12996.080509
11947   196051   9695   12992.580965
15795   196051   9695   12988.096272
13745   196051   9695   12983.292836
15731   196051   9695   12978.758957
14272   196051   9695   12974.299096
13717   196051   9695   12970.027038
15556   196051   9695   12966.166962
14703   196051   9695   12962.745834
13511   196051   9695   12958.564060
13071   196051   9695   12955.111378
13286   196051   9695   12952.126425
15689   196051   9695   12948.825703
15850   196051   9695   12945.427540
16426   196051   9695   12941.590394
12324   196051   9695   12938.525658
12335   196051   9695   12937.892059
11903   196051   9695   12936.887087
12268   196051   9695   12936.108591
12263   196051   9695   12934.003227
12033   196051   9695   12931.169043
12157   196051   9695   12927.795546
13157   196051   9695   12923.884259
12367   196051   9695   12920.467755
11929   196051   9695   12921.575862
12035   196051   9695   12922.565352
12449   196051   9695   12923.609131
18762   196051   9695   12924.995128
29470   196051   9695   12927.215712
29584   196051   9695   12928.527625
13258   196051   9695   12929.197346
13372   196051   9695   12927.645151
11892   196051   9695   12924.698076
13649   196051   9695   12925.936906
11923   196051   9695   12928.414305
13332   196051   9695   12930.767596
13036   196051   9695   12933.135284
18403   196051   9695   12935.418705
16371   196051   9695   12937.729520
11931   196051   9695   12939.825115
12850   196051   9695   12941.452317
28202   196051   9695   12944.299445
12214   196051   9695   12946.482798
12585   196051   9695   12948.843340
12924   196051   9695   12951.044239
12346   196051   9695   12953.257709
13369   196051   9695   12955.222939
29351   196051   9695   12957.128794
12428   196051   9695   12959.230201
13338   196051   9695   12961.433252
14632   196051   9695   12963.344836
12240   196051   9695   12965.359265
28077   196051   9695   12967.343956
22949   196051   9695   12969.498929
12808   196051   9695   12971.140648
18933   196051   9695   12973.501372
12299   196051   9695   12974.906601
12680   196051   9695   12977.352522
33526   196051   9695   12979.018104
13009   196051   9695   12981.192571
12228   196051   9695   12983.220364
12281   196051   9695   12985.481415
27846   196051   9695   12987.919059
16883   196051   9695   12989.982789
13637   196051   9695   12991.783284
31595   196051   9695   12993.662088
12296   196051   9695   12996.135536
11785   196051   9695   12998.100751
12622   196051   9695   13000.160636
26168   196051   9695   13002.079717
12379   196051   9695   13004.390327
38225   196051   9695   13006.148408
28779   196051   9695   13007.877345
15026   196051   9695   13009.885809
13451   196051   9695   13012.087055
29095   196051   9695   13013.942511
12204   196051   9695   13015.589091
11999   196051   9695   13016.609976
12216   196051   9695   13017.697245
28561   196051   9695   13020.045381
13258   196051   9695   13021.906496
12134   196051   9695   13024.006603
34273   196051   9695   13026.182718
12466   196051   9695   13028.495815
12227   196051   9695   13030.565238
11970   196051   9695   13032.586741
12344   196051   9695   13034.059932
12508   196051   9695   13033.835384
11857   196051   9695   13032.310896
12723   196051   9695   13033.257575
12421   196051   9695   13032.925599
12121   196051   9695   13033.993385
16839   196051   9695   13035.990701
12043   196051   9695   13035.921906
12395   196051   9695   13035.752364
12428   196051   9695   13035.072787
12171   196051   9695   13035.058376
12395   196051   9695   13035.218024
33821   196051   9695   13035.698729
12220   196051   9695   13035.172056
34605   196051   9695   13035.084497
12048   196051   9695   13034.859386
30402   196051   9695   13035.570390
16397   196051   9695   13036.279800
14070   196051   9695   13036.253197
12281   196051   9695   13034.926012
12303   196051   9695   13035.670389
13556   196051   9695   13036.255310
12260   196051   9695   13036.214736
12551   196051   9695   13035.813822
29023   196051   9695   13036.673293
12405   196051   9695   13037.058215
12106   196051   9695   13036.130530
12899   196051   9695   13034.790480
12465   196051   9695   13033.291658
11860   196051   9695   13031.677658
16885   196051   9695   13029.567519
15222   196051   9695   13026.937354
15949   196051   9695   13024.405924
14227   196051   9695   13022.027238
11870   196051   9695   13019.386645
14676   196051   9695   13016.816392
13660   196051   9695   13016.180781
12409   196051   9695   13014.914743
12025   196051   9695   13012.684027
13590   196051   9695   13009.770587
19184   196051   9695   13006.778685
13231   196051   9695   13004.049340
12407   196051   9695   13001.806752
16423   196051   9695   12998.876287
12407   196051   9695   12996.133448
12101   196051   9695   12994.081017
11859   196051   9695   12991.996125
11966   196051   9695   12989.162811
16820   196051   9695   12986.353625
12298   196051   9695   12983.782888
12735   196051   9695   12981.805700
12006   196051   9695   12979.059217
14341   196051   9695   12976.424951
14741   196051   9695   12974.114528
17258   196051   9695   12972.555493
13269   196051   9695   12969.934574
12048   196051   9695   12967.306037
23597   196051   9695   12964.888430
12276   196051   9695   12963.190523
13513   196051   9695   12960.678576
15565   196051   9695   12958.203901
18175   196051   9695   12955.645947
12072   196051   9695   12954.526619
14021   196051   9695   12952.043290
13131   196582   9695   12949.682845
15434   196582   9695   12947.231531
12167   196582   9695   12945.626908
15866   196582   9695   12943.250467
14227   196582   9695   12940.836179
14040   196582   9695   12938.441401
12852   196582   9695   12937.459941
12148   196582   9695   12935.141887
14686   196582   9695   12932.781559
12878   196582   9695   12930.434544
16430   196582   9695   12928.886080
12713   196582   9695   12926.617418
13931   196582   9695   12924.393530
15676   196582   9695   12922.132874
12256   196582   9695   12920.831607
11915   196582   9695   12919.337539
12105   196582   9695   12917.113282
13917   196582   9695   12914.882042
14719   196582   9695   12913.439220
15734   196582   9695   12911.401847
13623   196582   9695   12909.249369
14120   196582   9695   12907.091758
24773   196582   9695   12906.357059
11039   196582   9695   12906.117110
11142   196582   9695   12900.792555
11962   196582   9695   12897.667739
11817   196582   9695   12896.405594
12025   196582   9695   12894.439872
14760   196582   9695   12892.362843
16161   196582   9695   12890.320297
27995   196582   9695   12888.967622
12377   196582   9695   12887.683591
13152   196582   9695   12885.705152
12218   196582   9695   12883.704107
22826   196582   9695   12882.160384
12374   196582   9695   12880.466849
15453   196582   9695   12878.497174
12005   196582   9695   12876.623635
23637   196582   9695   12875.245418
12234   196582   9695   12873.992860
12105   196582   9695   12872.345543
16347   196582   9695   12872.828642
12191   196582   9695   12873.446929
14635   196582   9695   12874.413423
12212   196582   9695   12874.583360
14865   196582   9695   12874.684118
15625   196582   9695   12875.050565
12365   196582   9695   12875.867088
12371   196582   9695   12875.940979
14029   196582   9695   12875.790876
25339   196582   9695   12875.792712
12345   196582   9695   12875.981681
12096   196582   9695   12875.510163
12208   196582   9695   12874.902273
14800   196582   9695   12874.246561
18069   196582   9695   12874.735433
12560   196582   9695   12874.106720
12346   196582   9695   12873.281880
11999   196582   9695   12872.529586
12237   196582   9695   12872.323694
16210   196582   9695   12871.368088
12466   196582   9695   12870.337361
12026   196582   9695   12869.350310
12142   196582   9695   12869.469810
12041   196582   9695   12868.390640
12221   196582   9695   12867.207879
12153   196582   9695   12866.752205
12106   196582   9695   12866.228497
12050   196582   9695   12865.117523
16772   196582   9695   12863.876359
12633   196582   9695   12862.613855
12337   196582   9695   12862.476189
13791   196582   9695   12861.222010
13174   196582   9695   12859.900169
16537   196582   9695   12858.556095
15321   196582   9695   12858.005654
16147   196582   9695   12856.702776
15231   196582   9695   12855.397909
17595   196582   9695   12854.049018
12695   196582   9695   12853.707898
11955   196582   9695   12852.491342
12152   196582   9695   12851.168427
12034   196582   9695   12849.782760
15405   196582   9695   12849.077128
12463   196582   9695   12847.679418
11998   196582   9695   12846.283380
12088   196582   9695   12844.888662
12095   196582   9695   12844.189895
12249   196582   9695   12843.312627
12205   196582   9695   12841.910865
15098   196582   9695   12840.530794
12139   196582   9695   12839.633332
11974   196582   9695   12838.591275
11763   196582   9695   12837.283168
12143   196582   9695   12835.912784
11946   196582   9695   12835.032409
12090   196582   9695   12834.201957
11906   196582   9695   12832.811122
12090   196582   9695   12831.379947
31739   196582   9695   12830.210808
12489   196582   9695   12829.438625
12067   196582   9695   12828.089399
12000   196582   9695   12826.758494
12537   196582   9695   12825.721482
11999   196582   9695   12825.166514
12027   196582   9695   12823.813982
11991   196582   9695   12822.539267
11840   196582   9695   12821.321980
12030   196582   9695   12820.492678
15514   196582   9695   12819.177284
12296   196582   9695   12817.850501
12277   196582   9695   12816.639179
12039   196582   9695   12816.310434
11993   196582   9695   12815.033247
11797   196582   9695   12813.719546
12030   196582   9695   12812.451755
14837   196582   9695   12811.800775
15362   196582   9695   12810.523659
13307   196582   9695   12809.317698
12297   196582   9695   12808.031736
19091   196582   9695   12807.800960
11866   196582   9695   12806.589888
12836   196582   9695   12805.328091
11938   196582   9695   12804.086214
11911   196582   9695   12803.518935
12011   196582   9695   12802.284767
12010   196582   9695   12801.039910
11934   196582   9695   12799.821225
13504   196582   9695   12799.586420
15620   196582   9695   12798.386794
12391   196582   9695   12797.225943
12101   196582   9695   12795.989926
12069   196582   9695   12795.377965
11937   196582   9695   12794.205224
12080   196582   9695   12793.019215
12074   196582   9695   12791.826383
12210   196582   9695   12791.563066
11880   196582   9695   12790.394043
11452   196582   9695   12787.867140
15007   196582   9695   12785.726720
11159   196582   9695   12783.439249
10698   196582   9695   12779.650141
10648   196582   9695   12776.086418
10838   196582   9695   12772.506844
10909   196582   9695   12769.515333
11151   196582   9695   12766.786525
15782   196582   9695   12763.948868
11762   196582   9695   12761.294158
20568   196582   9695   12759.175233
11975   196582   9695   12757.065803
11605   196582   9695   12754.928524
11482   196582   9695   12752.947046
11525   196582   9695   12751.469255
11597   196582   9695   12750.074651
14540   196582   9695   12748.401826
16981   196582   9695   12746.774848
11660   196582   9695   12745.237430
17611   196582   9695   12744.095698
12122   196582   9695   12742.531172
11640   196582   9695   12741.019613
11710   196582   9695   12739.848732
11845   198329   9695   12739.081187
11908   198329   9695   12737.710535
11780   198329   9695   12736.354127
11861   198329   9695   12735.179229
18248   198329   9695   12734.316306
11765   198329   9695   12733.098942
14721   198329   9695   12731.965021
12055   198329   9695   12730.843674
17383   198329   9695   12730.332054
11929   198329   9695   12729.145785
15880   198329   9695   12727.489551
11839   198329   9695   12725.869953
12295   198329   9695   12724.719722
12533   198329   9695   12723.273568
11495   198329   9695   12721.758310
16201   198329   9695   12720.260060
13939   198329   9695   12719.632764
12383   198329   9695   12718.204154
12158   198329   9695   12716.781501
14040   198329   9695   12715.474202
13604   198329   9695   12714.542757
15084   198329   9695   12713.186110
15428   198329   9695   12711.863538
15098   198329   9695   12710.499288
12196   198329   9695   12709.878467
11808   198329   9695   12708.621497
11709   198329   9695   12707.329208
11624   198329   9695   12706.076610
13644   198329   9695   12705.266322
13356   198329   9695   12704.040477
14138   198329   9695   12702.837186
11988   198329   9695   12701.703336
15405   198329   9695   12701.259015
13026   198329   9695   12700.147917
13457   198329   9695   12699.036531
11810   198329   9695   12697.941273
12045   198329   9695   12697.303173
19171   198329   9695   12696.359546
11762   198329   9695   12695.321880
11872   198329   9695   12694.298424
15070   198329   9695   12693.710892
11620   198329   9695   12693.014092
11737   198329   9695   12692.016808
14841   198329   9695   12691.004974
30076   198329   9695   12690.453247
12193   198329   9695   12689.475586
11887   198329   9695   12688.488881
11746   198329   9695   12687.503902
12219   198329   9695   12686.903349
12029   198329   9695   12686.271000
11991   198329   9695   12685.363747
11936   198329   9695   12684.457820
14589   198329   9695   12683.613470
12212   198329   9695   12683.036154
11725   198329   9695   12682.126195
11735   198329   9695   12681.194964
11870   198329   9695   12680.526213
12280   198329   9695   12680.126482
12374   198329   9695   12679.206352
11980   198329   9695   12678.362471
11944   198329   9695   12677.528188
12311   198329   9695   12676.960749
12354   198329   9695   12676.127264
12222   198329   9695   12675.241699
12303   198329   9695   12674.489424
11770   198329   9695   12674.179364
12038   198329   9695   12673.308024
12085   198329   9695   12672.420598
11911   198329   9695   12671.596066
11836   198329   9695   12671.182546
12668   198329   9695   12670.341668
12311   198329   9695   12669.481012
14302   198329   9695   12668.617208
12914   198329   9695   12668.526949
14701   198329   9695   12669.015458
20067   198329   9695   12669.527272
12257   198329   9695   12669.903801
12059   198329   9695   12670.632980
12105   198329   9695   12670.860243
12183   198329   9695   12670.980924
12042   198329   9695   12671.038558
12095   198329   9695   12671.892792
17179   198329   9695   12671.877768
12691   198329   9695   12671.788759
12547   198329   9695   12671.641128
11966   198329   9695   12671.936723
12193   198329   9695   12671.706314
12702   198329   9695   12671.511466
12794   198329   9695   12671.202640
12028   198329   9695   12671.456234
11994   198329   9695   12671.283826
11966   198329   9695   12670.900586
13049   198329   9695   12670.461293
12334   198329   9695   12670.504879
12073   198329   9695   12670.031863
12245   198329   9695   12669.536094
11909   198329   9695   12668.979747
11952   198329   9695   12668.942086
12038   198329   9695   12668.632661
11994   198329   9695   12668.113667
11843   198329   9695   12667.518733
26784   198329   9695   12667.256872
12428   198329   9695   12666.736050
12076   198329   9695   12666.099616
11898   198329   9695   12665.439269
12401   198329   9695   12665.150196
16023   198329   9695   12664.879567
13863   198329   9695   12664.205498
18084   198329   9695   12663.489425
26096   198329   9695   12662.988541
12261   198329   9695   12662.547362
12000   198329   9695   12661.862990
12101   198329   9695   12661.223621
12202   198329   9695   12660.800302
14638   198329   9695   12660.561247
15968   198329   9695   12659.874034
15787   198329   9695   12659.164938
17154   198329   9695   12658.558540
16792   198329   9695   12658.270427
16621   198329   9695   12657.672833
15385   198329   9695   12657.011799
12750   198329   9695   12656.507184
12051   198329   9695   12656.354676
11814   198329   9695   12655.677338
16035   198329   9695   12655.056359
12484   198329   9695   12654.393051
15805   198329   9695   12654.307284
17067   198329   9695   12653.667945
12981   198329   9695   12652.989030
17386   198329   9695   12652.331070
14052   198329   9695   12652.409367
13161   198329   9695   12651.775338
17261   198329   9695   12651.117025
15557   198329   9695   12650.465774
14933   198329   9695   12650.205176
12107   198329   9695   12649.602495
12017   198329   9695   12648.965249
