Act   Max   Min   Avg
0   0   0   -nan
14135   43989   12448   16283.626374
16210   43989   12238   17062.497251
27114   43989   12134   17217.922385
27845   43989   12134   18207.283358
13600   43989   12134   18885.054978
13611   43989   12127   18673.984505
23847   43989   12127   18787.983576
14390   43989   12043   18747.984379
26422   43989   12043   18487.997328
16137   43989   12043   18902.619521
20120   43989   12043   19190.194841
22208   44462   12043   19624.459379
19575   64163   12043   20179.545550
33578   64163   12043   20509.189289
19969   64163   12043   20392.367537
13856   64163   12043   20282.064976
14119   64163   12043   20235.801325
26911   64163   12043   20186.129357
25638   64163   12043   20291.953048
28241   134822   12043   20487.456876
26692   134822   12043   20543.960627
14548   134822   12043   20632.765206
19527   134822   12043   20710.230394
18910   134822   12043   20665.456426
16857   134822   12043   20589.274082
14889   134822   12043   20659.635750
15032   134822   12043   20648.741055
20035   134822   12043   20739.707168
23082   134822   12043   20758.883689
28326   134822   12043   20825.784065
13061   134822   12043   20894.984312
38068   134822   12043   20896.286363
26271   134822   12043   20971.978118
22654   134822   12043   21065.646877
27574   134822   12043   21295.409875
17157   134822   12043   21487.258622
17216   134822   12043   21554.761496
21891   134822   12043   21504.944061
12890   134822   12043   21493.637197
21734   134822   12043   21378.778956
12445   134822   12043   21246.668085
16956   134822   12043   21077.733234
15023   134822   12043   20913.381247
13283   134822   12043   20804.850822
12742   134822   12043   20648.142098
12693   134822   12043   20512.844294
22216   134822   12043   20450.677329
13840   134822   12043   20400.811037
12699   134822   12043   20305.606798
12806   134822   12043   20268.988186
12649   134822   12043   20133.445000
12673   134822   12043   20012.126862
26505   134822   12043   19940.288265
14557   134822   12043   19869.530517
18705   134822   12043   19870.484810
20130   134822   12043   19885.675839
13638   134822   12043   19933.603187
14873   134822   12043   19915.491785
13830   134822   12043   19848.935385
13301   134822   12043   19754.038730
14522   134822   12043   19673.022977
13526   134822   12043   19597.905880
24779   134822   12043   19571.832405
22658   134822   12043   19595.175882
15240   134822   12043   19623.536532
21566   134822   12043   19634.915049
20877   134822   12043   19655.040613
18266   134822   12043   19667.654648
18526   134822   12043   19669.190563
18456   134822   12043   19690.700531
17426   134822   12043   19690.887779
15881   134822   12043   19700.561732
21154   134822   12043   19692.570706
25048   134822   12043   19699.237238
15622   134822   12043   19693.536979
26504   134822   12043   19700.562692
16923   134822   12043   19709.047673
15718   134822   12043   19742.959978
20865   134822   12043   19784.845204
22872   134822   12043   19817.498420
20644   134822   12043   19837.672618
35944   134822   12043   19866.904348
22224   134822   12043   19917.084886
18284   134822   12043   19956.162274
14470   134822   12043   19963.005856
26965   134822   12043   19966.663344
14381   134822   12043   19984.317270
14771   134822   12043   19977.914192
15121   134822   12043   19943.441840
33879   134822   12043   19946.890234
14305   134822   12043   19980.579911
12707   134822   12043   19972.281004
21999   134822   12043   19954.582472
15518   134822   12043   19935.021900
19766   160660   12043   19926.619586
13519   160660   12043   19912.363249
15806   160660   12043   19866.885248
12902   160660   12043   19823.574504
14961   160660   12043   19777.196732
14498   160660   12043   19733.101162
14768   160660   12043   19686.868125
14299   160660   12043   19658.895970
14665   160660   12043   19618.878598
13164   160660   12043   19566.192951
12988   160660   12043   19517.126385
16834   160660   12043   19468.881214
15114   160660   12043   19421.423067
13903   160660   12043   19373.793745
13456   160660   12043   19327.508214
13494   160660   12043   19282.836981
12856   160660   12043   19239.656402
13023   160660   12043   19195.126528
12946   160660   12043   19159.255861
12840   160660   12043   19119.190863
13500   160660   12043   19079.836479
22376   160660   12043   19036.761621
13347   160660   11640   18995.420510
12698   160660   11613   18956.093541
13539   160660   11531   18913.804625
18474   160660   11531   18871.195785
17841   160660   11531   18825.739478
12097   160660   11531   18788.032250
12039   160660   11531   18751.534076
12582   160660   11531   18708.636972
17759   160660   11531   18682.759975
12457   160660   11531   18676.918939
20536   160660   11531   18648.554099
13185   160660   11531   18631.980520
12399   160660   11531   18599.574107
12639   160660   11531   18563.333535
11970   160660   11523   18529.195140
13006   160660   11463   18490.127421
24520   160660   11463   18501.407091
26216   160660   11463   18540.522227
31212   160660   11463   18593.097726
18175   160660   11463   18625.049747
13313   160660   11446   18606.970383
12161   160660   11446   18583.287523
20094   160660   11446   18606.726982
24642   160660   11446   18639.232659
24382   160660   11446   18661.910079
17002   160660   11446   18693.259632
25561   160660   11446   18723.259363
18247   160660   11446   18753.741021
21293   160660   11446   18781.407483
22756   160660   11446   18812.751841
26371   160660   11446   18841.483676
21196   160660   11446   18878.809335
24098   160660   11446   18905.813777
16764   160660   11446   18933.767340
29205   160660   11446   18966.384785
24209   160660   11446   19002.343472
26943   160660   11446   19040.307919
20391   160660   11446   19074.614997
31259   160660   11446   19111.503691
24661   160660   11446   19146.959019
28255   160660   11446   19183.846625
21590   160660   11446   19221.364936
26593   160660   11446   19256.474886
22764   160660   11446   19290.562378
29872   160660   11446   19327.927425
17974   160660   11446   19364.112247
32380   160660   11446   19393.802493
16598   160660   11446   19425.174090
16677   160660   11446   19459.697083
15312   160660   11446   19477.817576
23715   160660   11446   19503.734230
14329   160660   11446   19537.884128
38080   160660   11446   19572.530364
13877   160660   11446   19577.717125
20435   160660   11446   19583.355884
13191   160660   11446   19594.189799
29024   160660   11446   19586.569977
12389   160660   11446   19576.313189
12629   160660   11446   19538.801298
35274   160660   11446   19520.562049
12816   160660   11446   19518.125185
12451   160660   11446   19513.137437
15000   160660   11446   19513.157380
12723   160660   11446   19507.112010
33610   160660   11446   19524.336251
31187   160660   11446   19538.455574
12679   160660   11446   19525.645812
13377   160660   11446   19522.742817
20242   160660   11446   19538.990064
30289   160660   11446   19566.106044
19337   160660   11446   19562.068620
20365   160660   11446   19585.504568
24334   160660   11446   19605.870118
23195   160660   11446   19605.743743
13292   160660   11446   19626.846616
12515   160660   11446   19617.742608
12521   160660   11446   19596.320499
12445   160660   11446   19574.906381
13465   160660   11446   19552.348794
14916   160660   11446   19530.284609
15280   160660   11446   19506.989047
13274   160660   11446   19478.255948
13110   160660   11446   19455.166237
12982   160660   11446   19441.577991
12434   160660   11446   19408.445798
12646   160660   11446   19375.072077
12616   160660   11446   19341.837991
12478   160660   11446   19324.502035
12148   160660   11446   19292.304047
12545   160660   11446   19260.059017
12452   160660   11446   19228.136063
12797   160660   11446   19204.959505
12564   160660   11446   19173.552935
12805   160660   11446   19144.864661
12637   160660   11446   19114.108100
20373   160660   11446   19094.169758
12320   160660   11446   19065.433188
12522   160660   11446   19035.750374
13651   160660   11446   19006.148168
12222   160660   11446   18984.225562
12432   160660   11446   18955.300969
12607   160660   11446   18926.583384
12505   160660   11446   18905.299552
18573   160660   11446   18883.859205
12354   160660   11446   18861.303598
12523   160660   11446   18833.426465
12677   160660   11446   18805.593573
20200   160660   11446   18784.022870
12438   160660   11446   18757.899414
12349   160660   11446   18730.956029
12695   160660   11446   18704.395198
13342   160660   11446   18683.948446
12408   160660   11446   18663.344490
12918   160660   11446   18637.674683
12605   160660   11446   18612.039438
23422   160660   11446   18588.287367
12523   160660   11446   18567.556140
13485   160660   11446   18541.711280
12611   160660   11446   18516.953373
12705   160660   11446   18495.501997
12455   160660   11446   18479.043740
12816   160660   11446   18455.548022
12180   160660   11446   18431.440909
14155   160660   11446   18408.716632
12504   160660   11446   18390.602483
12924   160660   11446   18368.602613
12848   160660   11446   18345.451814
13431   160660   11446   18325.332715
12230   160660   11446   18309.885404
11969   160660   11446   18284.997054
12172   160660   11446   18260.325516
15683   160660   11412   18235.942182
11934   160660   11312   18217.571619
12231   160660   11312   18193.611449
12845   160660   11312   18169.781227
11819   160660   11312   18145.956019
11803   160660   11312   18133.008970
12114   160660   11312   18109.607739
12149   160660   11312   18086.708792
11882   160660   11312   18063.878768
12044   160660   11312   18047.399006
11745   160660   11312   18024.996467
11877   160660   11312   18002.672001
12545   160660   11312   17980.713590
12170   160660   11312   17969.291271
12142   160660   11312   17947.662104
12338   160660   11312   17925.730481
11919   160660   11312   17904.221733
12567   160660   11312   17889.632246
12017   160660   11312   17868.904862
12116   160660   11312   17848.118791
11804   160660   11312   17827.426396
12064   160660   11312   17816.738727
12910   160660   11312   17796.573668
11826   160660   11312   17776.546138
12382   160660   11312   17756.352407
12193   160660   11312   17742.574692
12235   160660   11312   17722.855155
12034   160660   11312   17703.667601
12087   160660   11312   17684.224197
11820   160660   11312   17672.741064
12025   160660   11312   17655.869409
12033   160660   11312   17637.233683
12685   160660   11312   17618.451818
13663   160660   11312   17605.492365
12158   160660   11312   17586.760702
12168   160660   11312   17568.429068
12187   160660   11312   17550.060741
13301   160660   11312   17541.774454
12058   160660   11312   17523.838725
12641   160660   11312   17506.270141
11988   160660   11312   17488.448272
12128   160660   11312   17474.959925
12086   160660   11312   17458.840939
12533   160660   11312   17441.705867
12251   160660   11312   17424.513611
12099   160660   11312   17416.875153
12317   160660   11312   17399.917383
12173   160660   11312   17382.650423
12209   160660   11312   17365.509457
12340   160660   11312   17354.574501
12268   160660   11312   17338.681203
12482   160660   11312   17322.402063
12022   160660   11312   17305.855635
13311   160660   11312   17294.043851
12127   160660   11312   17282.026355
12025   160660   11312   17266.338928
12370   160660   11312   17250.518510
18817   160660   11312   17239.133700
12748   160660   11312   17237.455900
12144   160660   11312   17223.498909
12445   160660   11312   17208.850373
13471   160660   11312   17199.710097
11869   160660   11312   17188.530568
12688   160660   11312   17173.680913
12005   160660   11312   17159.915021
20416   160660   11312   17146.645500
12208   160660   11312   17135.307715
29372   160660   11312   17124.010050
27852   160660   11312   17109.455507
12530   160660   11312   17097.632026
12964   160660   11312   17089.217953
12427   160660   11312   17074.939832
12692   160660   11312   17060.563859
12842   160660   11312   17047.535338
13220   160660   11312   17037.654608
12327   160660   11312   17023.744137
13563   160660   11312   17009.869794
12219   160660   11312   16998.161640
12361   160660   11312   16991.797049
12141   160660   11312   16978.419509
12451   160660   11312   16965.072510
25541   160660   11312   16951.760968
12328   160660   11312   16942.663372
11985   160660   11312   16929.461860
12334   160660   11312   16920.910957
12583   160660   11312   16908.365725
12182   160660   11312   16903.793300
12128   160660   11312   16890.754439
12383   160660   11312   16877.933391
13083   160660   11312   16864.992600
12389   160660   11312   16856.914554
12177   160660   11312   16844.204238
12634   160660   11312   16831.624650
12302   160660   11312   16818.841424
12227   160660   11312   16815.602261
12055   160660   11312   16803.934988
12321   160660   11312   16791.494186
25432   160660   11312   16779.135310
12351   160660   11312   16772.274922
12106   160660   11312   16760.376193
12791   160660   11312   16748.303032
12375   160660   11312   16736.192018
12369   160660   11312   16731.838906
12537   160660   11312   16719.911766
12722   160660   11312   16708.201256
12370   160660   11312   16696.395353
12604   160660   11312   16689.484535
12285   160660   11312   16677.696322
12660   160660   11312   16666.113244
12142   160660   11312   16654.560333
12663   160660   11312   16651.274131
12149   160660   11312   16639.515820
12505   160660   11312   16628.268254
12350   160660   11312   16617.026880
13459   160660   11312   16610.336474
12297   160660   11312   16599.177036
12275   160660   11312   16588.149109
12231   160660   11312   16576.853885
12624   160660   11312   16571.778910
12509   160660   11312   16562.393907
12716   160660   11312   16551.623907
12459   160660   11312   16541.812099
13190   160660   11312   16535.578977
12406   160660   11312   16524.827593
12742   160660   11312   16514.207178
12916   160660   11312   16503.410891
20744   160660   11312   16498.364646
13485   160660   11312   16489.310054
12427   160660   11312   16479.138649
12513   160660   11312   16468.804034
12153   160660   11312   16462.907195
13814   160660   11312   16452.790086
12931   160660   11312   16442.732555
12474   160660   11312   16432.585258
12618   160660   11312   16427.427600
12399   160660   11312   16419.993404
12511   160660   11312   16410.203965
12371   160660   11312   16400.269442
22822   160660   11312   16394.398588
12368   160660   11312   16384.746117
12401   160660   11312   16375.089967
12169   160660   11312   16365.340733
12485   160660   11312   16359.457898
12291   160660   11312   16353.156725
12389   160660   11312   16343.646569
12237   160660   11312   16334.131732
21535   160660   11312   16326.037153
12599   160660   11312   16319.221850
12884   160660   11312   16309.888732
12434   160660   11312   16300.592089
12720   160660   11312   16293.142493
12748   160660   11312   16288.880234
12360   160660   11312   16279.780670
12456   160660   11312   16270.633083
12484   160660   11312   16262.468851
12396   160660   11312   16256.443315
12433   160660   11312   16247.501449
13355   160660   11312   16238.463030
13172   160660   11312   16231.262656
12551   160660   11312   16227.218037
12368   160660   11312   16218.443136
12588   160660   11312   16209.676580
22162   160660   11312   16201.632078
12551   160660   11312   16196.035472
12321   160660   11312   16187.349134
11972   160660   11312   16178.474308
34144   160660   11312   16169.976024
12268   160660   11312   16167.660044
11960   160660   11312   16159.000761
12511   160660   11312   16150.608957
12511   160660   11312   16142.392329
11961   160660   11312   16137.710189
12364   160660   11312   16129.630961
12391   160660   11312   16121.354889
12201   160660   11312   16113.021460
12326   160660   11312   16111.207566
12265   160660   11312   16102.968842
12201   160660   11312   16094.907527
12210   160660   11312   16086.701369
12303   160660   11312   16082.625701
12338   160660   11312   16074.452070
12361   160660   11312   16067.483088
12448   160660   11312   16059.547838
12400   160660   11312   16056.481507
12869   160660   11312   16050.261929
12492   160660   11312   16042.531248
12449   160660   11312   16038.294105
12326   160660   11312   16034.186212
12438   160660   11312   16026.386513
13139   160660   11312   16018.665583
12526   160660   11312   16010.937006
13640   160660   11312   16009.548727
12394   160660   11312   16001.827755
12286   160660   11312   15994.363598
12456   160660   11312   15986.680169
12215   160660   11312   15982.887665
12481   160660   11312   15975.374368
12526   160660   11312   15968.039565
12490   160660   11312   15960.450955
12569   160660   11312   15959.044441
13148   160660   11312   15951.518901
12362   160660   11312   15944.201168
12563   160660   11312   15936.792150
12496   160660   11312   15933.127117
12432   160660   11312   15925.873323
12270   160660   11312   15918.633344
12388   160660   11312   15911.313590
12745   160660   11312   15908.456547
12652   160660   11312   15903.041661
12331   160660   11312   15896.020685
12474   160660   11312   15888.976044
12592   160660   11312   15885.372724
12304   160660   11312   15878.366259
12511   160660   11312   15871.458078
12431   160660   11312   15864.468771
17769   160660   11312   15860.789503
12564   160660   11312   15856.617235
12528   160660   11312   15849.663006
12942   160660   11312   15842.810064
13536   160660   11312   15839.314831
12388   160660   11312   15832.376535
15564   160660   11312   15825.659018
13066   160660   11312   15818.912193
12567   160660   11312   15815.069086
12469   160660   11312   15811.224418
12695   160660   11312   15804.548505
12281   160660   11312   15797.888394
12688   160660   11312   15792.013205
12183   160660   11312   15788.194137
12719   160660   11312   15781.649519
12303   160660   11312   15775.296849
17045   160660   11312   15770.878941
12463   160660   11312   15767.789946
12314   160660   11312   15761.457109
12540   160660   11312   15754.995295
12562   160660   11312   15749.381248
12628   160660   11312   15745.648577
12458   160660   11312   15739.306492
12271   160660   11312   15732.979695
12977   160660   11312   15728.291895
12743   160660   11312   15725.985689
12549   160660   11312   15720.629905
12776   160660   11312   15714.348028
12929   160660   11312   15708.875762
12369   160660   11312   15705.234298
12497   160660   11312   15699.068401
12675   160660   11312   15692.893550
20030   160660   11312   15687.447964
12751   160660   11312   15686.054318
12531   160660   11312   15679.917233
12374   160660   11312   15673.910138
12672   160660   11312   15668.011499
12355   160660   11312   15665.154553
12700   160660   11312   15659.263897
14414   160660   11312   15654.530641
14431   160660   11312   15652.236402
14213   160660   11312   15655.318710
14238   160660   11312   15652.899694
15201   160660   11312   15650.534823
14131   160660   11312   15648.078129
14092   160660   11312   15648.647651
14316   160660   11312   15646.062882
14189   160660   11312   15643.434501
14306   160660   11312   15641.094122
14139   160660   11312   15643.742098
14105   160660   11312   15640.889019
13999   160660   11312   15638.246526
14574   160660   11312   15635.327488
13822   160660   11312   15635.579784
13710   160660   11312   15632.734817
13819   160660   11312   15629.828464
13710   160660   11312   15626.945394
14035   160660   11312   15629.177954
14116   160660   11312   15626.378879
13746   160660   11312   15623.418369
13616   160660   11312   15620.369170
13601   160660   11312   15620.582521
13672   160660   11312   15617.451331
13981   160660   11312   15614.512692
13845   160660   11312   15611.423468
13952   160660   11312   15613.323897
13766   160660   11312   15610.173767
14358   160660   11312   15607.071673
14329   160660   11312   15603.886479
13913   160660   11312   15603.711936
13847   160660   11312   15600.469267
13929   160660   11312   15597.303439
13628   160660   11312   15594.063253
13781   160660   11312   15595.859446
13657   160660   11312   15592.573713
13680   160660   11312   15589.466185
13759   160660   11312   15586.031170
13435   160660   11312   15585.799001
13439   160660   11312   15582.256204
13488   160660   11312   15581.807911
13526   160660   11312   15578.269742
22741   160660   11312   15578.395632
13445   160660   11312   15576.284494
13171   160660   11312   15572.571462
13238   160660   11312   15568.850771
13588   160660   11312   15568.375513
13289   160660   11312   15565.490645
13612   160660   11312   15561.970482
13740   160660   11312   15558.504613
14019   160660   11312   15557.564755
13852   160660   11312   15556.328248
13757   160660   11312   15552.818001
14128   160660   11312   15549.270150
25300   160660   11312   15546.864448
14380   160660   11312   15544.989654
13693   160660   11312   15541.351420
13410   160660   11312   15537.823948
14055   160660   11312   15536.830017
13097   160660   11312   15535.452026
13648   160660   11312   15532.049214
13472   160660   11312   15528.403981
20214   160660   11312   15525.713180
13430   160660   11312   15524.246438
13525   160660   11312   15520.576301
13447   160660   11312   15516.926681
13590   160660   11312   15514.607605
13360   160660   11312   15514.574797
13385   160660   11312   15511.033138
14471   160660   11312   15507.389568
13243   160660   11312   15504.348001
13229   160660   11312   15502.815971
13506   160660   11312   15499.224452
13250   160660   11312   15495.682137
14042   160660   11312   15493.194461
13343   160660   11312   15492.945743
13446   160660   11312   15489.161115
13559   160660   11312   15485.600431
22045   160660   11312   15482.018512
13866   160660   11312   15480.980839
14389   160660   11312   15477.340811
13070   160660   11312   15473.614242
12895   160660   11312   15470.047019
13089   160660   11312   15471.089684
13334   160660   11312   15467.361655
12935   160660   11312   15463.805882
13031   160660   11312   15460.058276
12968   160660   11312   15459.049307
13312   160660   11312   15455.425233
