Act   Max   Min   Avg
0   0   0   -nan
12453   29628   11492   12667.722261
18952   56296   11492   12659.866146
13799   56296   11492   12634.691282
12229   172218   11492   12622.715735
12139   172218   11485   12673.826405
13541   172218   11485   12695.281712
21148   172218   11485   12712.153836
11875   172218   11485   12729.029755
22514   172218   11485   12758.727640
12621   172218   11485   12784.450217
12635   172218   11485   12814.379731
11794   172218   11485   12833.603124
12021   172218   11485   12841.202863
18237   172218   11485   12841.278355
11824   172218   11463   12837.679092
25871   187411   11463   12851.895229
29937   187411   11463   12866.843748
12696   187411   11463   12878.862969
14799   187411   11463   12885.139843
12106   187411   11463   12893.747869
14254   187411   11463   13022.757628
17099   187411   11463   13197.913403
13739   187411   11463   13350.221738
13657   187411   11463   13440.254990
14748   187411   11463   13503.213628
13441   187411   11463   13545.932258
13566   187411   11463   13578.803414
32722   187411   11463   13605.958310
13152   187411   11463   13629.204794
29692   187411   11463   13645.001385
12442   187411   11463   13655.331023
17049   187411   11463   13662.229609
12678   187411   11463   13662.296399
12295   187411   11463   13655.152012
15679   187411   11463   13646.076457
12485   187411   11463   13635.635310
12431   187411   11463   13629.097295
12317   187411   11463   13623.610273
12018   187411   11463   13614.890172
24750   187411   11463   13602.167342
27857   187411   11463   13592.429875
25727   187411   11463   13586.523410
18352   187411   11463   13570.122043
23214   187411   11463   13559.206959
12463   187411   11463   13549.019854
12024   187411   11463   13538.117276
15117   187411   11463   13526.890248
17436   187411   11463   13513.919530
12625   187411   11463   13503.028662
12313   187411   11463   13490.829391
19384   187411   11463   13480.646692
12134   187411   11463   13468.013717
19763   187411   10482   13442.736939
17606   187411   10422   13412.795980
11267   187411   10422   13385.044049
16470   187411   10422   13359.508995
11432   187411   10422   13339.162677
11957   187411   10422   13326.698198
12905   187411   10422   13315.640587
23022   187411   10422   13300.723377
11544   187411   10422   13283.669339
21884   187411   10422   13269.524624
24723   187411   10422   13257.119324
11949   187411   10422   13245.211420
13027   187411   10422   13236.587806
11865   187411   10422   13225.863113
15007   187411   10422   13213.746431
12013   187411   10422   13201.394746
15282   187411   10422   13189.955629
17615   187411   10422   13180.665964
18411   187411   10422   13170.170146
11690   187574   10422   13160.317425
20992   187574   10422   13150.764379
12371   187574   10422   13143.562853
12607   187574   10422   13136.113752
18121   187574   10422   13128.983628
14632   187574   10422   13123.241878
16201   187574   10422   13117.086256
15777   187574   10422   13110.586600
12135   187574   10422   13108.016409
14460   187574   10422   13102.279793
14455   187574   10422   13095.374092
16264   187574   10422   13090.172270
12132   187574   10422   13084.602783
14094   187574   10422   13084.239908
17415   187574   10422   13084.278612
15625   187574   10422   13085.031895
12232   187574   10422   13086.901669
12081   187574   10422   13087.139977
12265   187574   10422   13087.249944
12160   187574   10422   13088.375444
18775   187574   10422   13089.139712
12173   187574   10422   13090.606702
12241   187574   10422   13091.893804
12186   187574   10422   13094.570246
14016   187574   10422   13096.390995
17231   187574   10422   13097.306988
12144   187574   10422   13096.076726
13906   187574   10422   13093.954549
11895   187574   10422   13091.663815
11925   187574   10422   13089.615098
12127   187574   10422   13087.323569
14228   187574   10422   13085.778555
15079   187574   10422   13085.557173
20630   187574   10422   13088.149035
23277   187574   10422   13089.393565
11712   187574   10422   13089.609545
21884   187574   10422   13089.556170
12867   187574   10422   13088.462943
12292   187574   10422   13087.208368
15227   187574   10422   13086.305327
23492   187574   10422   13085.969636
12953   187574   10422   13086.218727
17686   187574   10422   13086.310940
11858   187574   10422   13086.572130
14076   187574   10422   13086.480214
12717   187574   10422   13086.736353
12112   187574   10422   13086.525822
11870   187574   10422   13085.782439
11952   187574   10422   13085.718677
19632   187574   10422   13085.887846
12085   187574   10422   13085.516287
11973   187574   10422   13085.167410
17422   187574   10422   13084.098966
12006   187574   10422   13086.713190
12108   187574   10422   13088.614255
12101   187574   10422   13090.360902
26334   187574   10422   13092.116121
17036   187574   10422   13094.776914
14768   187574   10422   13096.156333
13575   187574   10422   13097.247638
11721   187574   10422   13097.928143
12121   187574   10422   13098.097913
12284   187574   10422   13095.487202
12102   187574   10422   13091.627880
12194   187574   10422   13087.446642
11942   187574   10422   13083.434183
12484   187574   10422   13080.102888
11770   187574   10422   13076.158464
12031   187574   10422   13071.789946
12110   187574   10422   13069.762231
19517   187574   10422   13071.701151
12281   187574   10422   13069.287512
12265   187574   10422   13068.078719
18494   187574   10422   13066.115242
22978   187574   10422   13065.994484
12335   187574   10422   13066.157245
14461   187574   10422   13066.661688
11936   187574   10422   13066.648520
22406   187574   10422   13065.908731
12247   187574   10422   13065.900907
12244   187574   10422   13066.404987
17110   187574   10422   13066.066248
12187   187574   10422   13065.385117
13420   187574   10422   13064.350083
12449   187574   10422   13066.054005
12307   187574   10422   13066.982867
16551   187574   10422   13069.322013
12535   187574   10422   13069.566409
22077   187574   10422   13069.537438
13268   187574   10422   13070.159714
12244   187574   10422   13070.463828
12610   187574   10422   13071.711654
31593   187574   10422   13072.455554
15127   187574   10422   13073.003851
13219   187574   10422   13073.517971
19366   187574   10422   13073.434341
11868   187574   10422   13074.964950
21523   187574   10422   13079.975068
12322   187574   10422   13083.489052
12324   267941   10422   13084.301227
12038   267941   10422   13084.733272
22146   267941   10422   13084.856603
12487   267941   10422   13086.648085
15943   267941   10422   13087.821888
28722   267941   10422   13087.174831
20428   267941   10422   13086.334975
11945   267941   10422   13085.511495
12069   267941   10422   13085.088808
17735   267941   10422   13084.338991
14871   267941   10422   13083.517545
17413   267941   10422   13082.767623
12645   267941   10422   13082.478623
12770   267941   10422   13082.511890
12517   267941   10422   13082.046550
12455   267941   10422   13081.223498
19623   267941   10422   13081.073870
11958   267941   10422   13080.498429
15661   267941   10422   13079.441627
11883   267941   10422   13078.677059
12096   267941   10422   13078.129320
12681   267941   10422   13077.800926
20754   267941   10422   13077.327583
19379   267941   10422   13076.806295
23006   267941   10422   13076.834957
12211   267941   10422   13076.478926
12067   267941   10422   13075.652286
18861   267941   10422   13075.269781
12800   267941   10422   13074.766846
13949   267941   10422   13074.344304
13594   267941   10422   13073.935449
12810   267941   10422   13073.444664
24470   267941   10422   13072.926445
12219   267941   10422   13072.401412
12149   267941   10422   13071.686370
13847   267941   10422   13070.954800
16929   267941   10422   13070.386202
12196   267941   10422   13069.987185
22200   267941   10422   13069.421536
12073   267941   10422   13068.673298
11975   267941   10422   13067.353710
13867   267941   10422   13066.031958
12985   267941   10422   13064.829875
13663   267941   10422   13063.016861
16015   267941   10422   13060.418211
16084   267941   10422   13058.001757
12184   267941   10422   13055.865925
11796   267941   10422   13053.323671
12106   267941   10422   13051.407465
11879   267941   10422   13050.174057
17994   267941   10422   13049.450812
12831   267941   10422   13048.709074
11975   267941   10422   13048.131650
11941   267941   10422   13045.302496
12036   267941   10422   13042.569848
14351   267941   10422   13040.611747
16894   267941   10422   13038.976050
12503   267941   10422   13037.539286
