Act   Max   Min   Avg
0   0   0   -nan
17099   6425621   8566   524367.644356
37639   6425621   8566   479608.521261
40198   6425621   8566   476028.246584
39717   540306721   8566   37243916.510321
29201   540306721   8566   32760006.418198
22307   540306721   8566   42161080.844673
27670   540306721   8566   36189231.212212
26205   540306721   8566   31684913.758535
27336   540306721   8566   28172313.663713
41471   540306721   8566   25366479.562824
43775   540306721   8566   23135995.892728
27657   540306721   8566   21283995.568864
27371   540306721   8566   19674879.901449
40138   540306721   8566   18276511.733884
47914   540306721   8566   17064565.135714
21930   540306721   8566   16014549.520332
37444   540306721   8566   15120467.504636
34732   540306721   8566   14307202.544935
23091   540306721   8566   13612428.082313
233870   540306721   8566   12959431.158157
41545   540306721   8566   12385508.029040
69296   540306721   8566   11825946.529038
47451   540306721   8566   11353820.156250
45193   540306721   8566   10883455.334969
53173   540306721   8566   10454729.075716
56151   540306721   8566   10058861.559003
46474   540306721   8566   9697190.508783
52930   540306721   8566   9364297.056703
42647   540306721   8566   9050176.257567
42022   540306721   8566   8750215.983423
36232   540306721   8566   8469642.510873
22652   540306721   8566   8206489.052150
43942   540306721   8566   7959562.943284
21859   540306721   8566   7726961.563627
31156   540306721   8566   7507568.804263
17587   540306721   8566   7300224.392070
23351   540306721   8566   7116799.258220
20906   540306721   8566   6930698.923558
62165   540306721   8566   6754049.536166
26509   540306721   8566   6586189.444883
27759   540306721   8566   6426585.286950
29877   540306721   8566   6274362.340556
60054   540306721   8566   6129533.242897
32242   540306721   8566   5991586.864519
26426   540306721   8566   5859281.846302
55163   540306721   8566   5732827.817410
54450   540306721   8566   5611799.409880
34966   540306721   8566   5495772.026268
32563   540306721   8566   5384506.342088
53460   540306721   8566   5277560.137899
35377   540306721   8566   5174905.993613
30041   540306721   8566   5076222.340436
34368   540306721   8566   4981207.858611
34039   540306721   8566   4889712.347710
35792   540306721   8566   4801470.081424
33226   540306721   8566   4716355.636560
55672   540306721   8566   4634241.443685
43174   540306721   8566   4553569.427900
25066   540306721   8566   4476423.621779
33183   540306721   8566   4402051.230210
48433   540306721   8566   4330789.587705
39641   540306721   8566   4261580.732317
24219   540306721   8566   4194527.614169
25867   540306721   8566   4129591.904201
28128   540306721   8566   4065865.047638
56059   540306721   8566   4004555.961877
49332   540306721   8566   3945351.066136
30644   540306721   8566   3887988.669936
51720   540306721   8566   3832340.082830
54771   540306721   8566   3778219.832608
27084   540306721   8566   3725418.053650
46316   540306721   8566   3674153.581789
50586   540306721   8566   3624455.337701
56440   540306721   8566   3576054.028511
48130   540306721   8566   3528971.881603
39186   540306721   8566   3483526.045538
51081   540306721   8566   3438901.519608
44342   540306721   8566   3395405.968980
33163   540306721   8566   3352948.004829
50754   540306721   8566   3311630.750602
51481   540306721   8566   3271396.609409
52768   540306721   8566   3232125.628281
56081   540306721   8566   3193808.934066
49149   540306721   8566   3156400.422301
54933   540306721   8566   3119870.011902
45460   540306721   8566   3084165.297795
46894   540306721   8566   3049267.760357
34294   540306721   8566   3015094.158660
24029   540306721   8566   2981591.246785
28657   540306721   8566   2948889.478161
24307   540306721   8566   2916910.788166
25515   540306721   8566   2885618.654027
26044   540306721   8566   2854962.440288
23280   540306721   8566   2824963.760238
18300   540306721   8566   2795612.575615
22580   540306721   8566   2766856.601473
28016   540306721   8566   2738686.253311
28940   540306721   8566   2711063.328604
48366   540306721   8566   2684053.634919
