Act   Max   Min   Avg
0   0   0   -nan
35652   7655119   8409   523921.988012
24962   7655119   8409   550199.407850
29161   10023812   8409   550217.007469
38735   10023812   8409   429542.138161
26323   10033201   8409   393901.570548
32469   10045557   8409   402803.141508
16821   10045557   8409   352104.226302
25852   10045557   8409   314549.892985
21088   10045557   8409   464745.938830
27206   10045557   8409   559380.861157
132781   10045557   8409   588778.304130
19659   10045557   8409   657798.511039
22446   10045557   8409   669193.453131
24737   10045557   8409   626101.222733
22312   10045557   8409   587479.087655
33987   10045557   8409   593015.850153
27654   10045557   8409   574575.692379
9965   10045557   8409   588983.457925
10480   10045557   8409   592641.787115
9959   10045557   8409   617537.429932
12178   10045557   8409   590585.502456
10270   10045557   8409   566071.146963
10629   14961580   8409   584565.819920
10232   14961580   8409   561147.955976
9931   14961580   8409   551731.490403
10195   14961580   8409   540500.155538
27246   14961580   8409   521412.208125
10277   14961580   8409   509495.708772
10072   14961580   8409   492591.101658
23351   14961580   8409   477104.426154
11975   14961580   8409   463783.582744
21742   14961580   8409   450021.099246
10041   14961580   8409   437139.882543
15104   14961580   8409   424843.922412
27956   14961580   8409   413273.615028
9775   14961580   8409   402425.478171
9906   14961580   8409   392000.837052
24102   14961580   8409   382088.205087
12409   14962404   8409   383985.987708
19152   14962404   8409   374756.612310
10511   14962404   8409   365997.439347
10150   14962404   8409   357675.707233
22918   14962404   8409   349702.686686
12021   14962404   8409   342301.880293
10088   14962404   8409   335441.574523
10243   14962404   8409   328436.763515
9607   14962404   8409   321795.351810
13674   14962404   8409   315392.007607
11369   14962404   8409   309444.140496
18220   14962404   8409   303659.875712
36070   14962404   8409   298066.355027
29813   14962404   8409   292880.674150
10277   14962404   8409   287726.731787
30124   14962404   8409   282705.848151
10096   14962404   8409   277815.789502
9203   14962404   8204   273064.898019
19381   14962404   8204   268530.298764
23907   14962404   8204   264235.366085
22855   14962404   8204   260152.400946
15188   14962404   8204   256291.256508
19999   14962404   8204   252725.288614
21436   14962404   8204   249063.691796
28910   14962404   8204   245548.671480
25977   14962404   8204   242126.107052
