Act   Max   Min   Avg
0   0   0   -nan
14039   168812   9528   14791.187181
14458   190788   9528   14875.323934
12275   7614254   9175   82216.014610
17636   540061825   9175   42010815.447508
14029   540061825   5866   33788323.283535
13232   540061825   5866   28412551.426855
11871   540061825   5866   24410908.017937
16406   540061825   5757   21372524.000162
10138   540061825   5757   19049631.693983
11549   540061825   5757   17149242.107504
8628   540061825   5757   15595364.317262
17735   540061825   5757   14297840.646171
11730   540061825   5757   13242531.933588
8585   540061825   5757   12420340.818657
8688   540061825   5757   11695114.954662
11047   540061825   5757   11063599.290415
11999   540061825   5757   10505357.536668
8890   540061825   5757   9999914.154972
10185   540061825   5757   9475950.946907
8728   540061825   5757   9004590.805536
9067   540061825   5757   8616446.183948
8655   540061825   5757   8232185.036117
8595302   540061825   5757   7940656.857112
13294   540061825   5757   7626451.236178
13836   540061825   5757   7345023.148699
8272   540061825   5757   7087870.076691
8374   540061825   5757   6827032.933445
8589   540061825   5757   6586511.421516
8584   540061825   5757   6362623.408297
7781   540061825   5757   6159121.917757
7727   540061825   5757   5964376.096330
14384   540061825   5757   5787945.449944
17174   540061825   5757   5617533.237699
12165   540061825   5757   5452821.554108
12177   540061825   5757   5296920.943903
8015   540061825   5757   5150332.696461
10308   540061825   5757   5011556.811494
8283   540061825   5757   4880042.789892
11039   540061825   5757   4767801.094909
12871   540061825   5757   4648984.925083
8682   540061825   5757   4535918.182982
8416   540061825   5757   4428221.783504
8406   540061825   5757   4325556.259631
8492   540061825   5757   4227544.693945
12194   540061825   5757   4133942.897084
12757   540061825   5757   4044583.044612
8550   540061825   5757   3958814.114651
8597   540061825   5757   3876586.809357
13212   540061825   5757   3797729.835485
8610   540061825   5757   3722034.145093
12495   540061825   5757   3649314.332143
12838   540061825   5757   3579393.225807
8564   540061825   5757   3512134.558104
16536   540061825   5757   3447322.979822
12651   540061825   5757   3384883.923470
8931   540061825   5757   3324655.009419
8573   540061825   5757   3266530.260240
8576   540061825   5757   3210409.736124
13143   540061825   5757   3155787.640277
12620   540061825   5757   3103471.317831
13466   540061825   5757   3051736.443153
13182   540061825   5757   3002804.420581
14450   540061825   5757   2954878.057755
14191   540061825   5757   2908959.649226
12920   540061825   5757   2864302.178077
12385   540061825   5757   2820704.482697
13946   540061825   5757   2778220.698331
12500   540061825   5757   2737629.793974
13379   540061825   5757   2698218.555663
10981   540061825   5757   2659923.175991
11634   540061825   5757   2622721.155921
11773   540061825   5757   2586598.770441
10516   540061825   5757   2551396.878129
13387   540061825   5757   2517165.728409
13373   540061825   5757   2483760.543808
13159   540061825   5757   2451279.754720
11640   540061825   5757   2419656.718133
10608   540061825   5757   2388572.048066
14738   540061825   5757   2358447.580429
13483   540061825   5757   2329375.982465
12661   540061825   5757   2300827.801521
12075   540061825   5757   2272978.047408
12780   540061825   5757   2245799.544505
12820   540061825   5757   2219267.976573
23932   540061825   5757   2193185.526661
14033   540061825   5757   2167877.655834
12776   540061825   5757   2143152.771016
16751   540061825   5757   2118986.382950
12989   540061825   5757   2095361.284308
12965   540061825   5757   2072256.220370
12766   540061825   5757   2049657.247465
12513   540061825   5757   2027548.310120
8648   540061825   5757   2005924.068720
8758   540061825   5757   1984728.172733
8755   540061825   5757   1963973.050616
8898   540061825   5757   1943646.802640
8725   540061825   5757   1923736.348726
8999   540061825   5757   1904236.683374
8719   540061825   5757   1885128.083318
13215   540061825   5757   1866400.930335
9057   540061825   5757   1848041.723791
9039   540061825   5757   1830043.447588
8963   540061825   5757   1812391.333404
8724   540061825   5757   1795094.561767
8773   540061825   5757   1778116.751663
8635   540061825   5757   1761458.639435
8689   540061825   5757   1745109.427951
8613   540061825   5757   1729062.763992
13452   540061825   5757   1713311.111027
8761   540061825   5757   1697845.833928
13471   540061825   5757   1682655.727564
16838   540061825   5757   1667737.662409
15193   540061825   5757   1653083.128008
13318   540061825   5757   1638695.184599
8581   540061825   5757   1624549.306130
8774   540061825   5757   1610645.166938
19535   540061825   5757   1596990.680034
14259   540061825   5757   1583561.371241
12103   540061825   5757   1570354.544253
8345   540061825   5757   1557365.483878
12431   540061825   5757   1544602.600116
8529   540061825   5757   1532051.488062
8451   540061825   5757   1519701.855562
8559   540061825   5757   1507546.761895
8449   540061825   5757   1495580.271247
19437   540061825   5757   1483804.195708
8590   540061825   5757   1472208.520223
12994   540061825   5757   1460777.847398
11226   540061825   5757   1449557.978363
11750   540061825   5757   1438505.117734
11406   540061825   5757   1427627.848355
8656   540061825   5757   1416900.018267
12916   540061825   5757   1406332.323038
11298   540061825   5757   1395946.409927
8572   540061825   5757   1385715.580241
11965   540061825   5757   1375633.388314
12381   540061825   5757   1365699.927554
13662   540061825   5757   1355903.094678
14571   540061825   5757   1346255.424568
12886   540061825   5757   1336745.591259
10468   540061825   5757   1327371.903883
29234   540061825   5757   1318125.005407
29882   540061825   5757   1309004.612789
12161   540061825   5757   1300013.076078
10481   540061825   5757   1291148.684462
11002   540061825   5757   1282407.600176
11383   540061825   5757   1273782.828769
