Act   Max   Min   Avg
0   0   0   -nan
22223   32289   10940   15599.804196
25222   32772   10874   16331.220390
11638   34388   10799   16031.656115
21177   81340   10795   16110.486128
17528   103352   10795   16730.387323
23035   103352   10795   17143.412431
19519   103352   10795   17676.384659
24354   103352   10795   18230.205724
41069   103352   10795   19301.381402
36760   420885   10795   19998.553745
25440   420885   10795   19806.254408
14050   420885   10795   19592.753020
23553   420885   10795   19577.647136
11877   420885   10795   19416.198001
12644   420885   10795   19243.295835
22639   420885   10795   19344.352577
14418   420885   10795   19357.662629
41548   420885   10795   19875.263871
38230   420885   10795   20489.438832
26040   420885   10795   20888.065934
24532   420885   10795   21374.884123
23719   420885   10795   21757.058169
29537   420885   10795   21988.341215
25142   420885   10795   22244.662334
24800   420885   10795   22388.410022
27628   420885   10795   22659.697185
24227   420885   10795   22847.918537
26350   420885   10795   23032.795722
25100   420885   10795   23120.851410
26147   420885   10795   23200.537526
22014   420885   10795   23259.847804
33262   420885   10795   23525.985940
24260   746468   10795   23787.327567
20485   746468   10795   23736.845679
31608   746468   10795   23600.550261
13052   746468   10795   23488.176466
12922   746468   10795   23234.226336
12695   746468   10795   23001.419081
12494   746468   10795   22766.986156
14467   746468   10795   22551.784763
12187   746468   10795   22330.723559
26486   746468   10795   22146.303775
13490   746468   10795   22077.491955
11923   746468   10795   21947.543333
11613   746468   10795   21764.230359
13173   746468   10795   21559.614676
11648   746468   10795   21437.676225
12031   746468   10795   21347.914618
16486   746468   10795   21273.407158
17809   746468   10795   21226.823592
10483   746468   10276   21122.300908
10704   746468   10259   20958.243477
10674   746468   10259   20770.981098
11022   746468   10259   20589.176430
11183   746468   10259   20414.678277
17053   746468   10259   20352.439457
15932   746468   10259   20303.176162
17894   746468   10259   20241.880865
20426   746468   10259   20191.019675
11860   746468   10259   20122.785969
13491   746468   10259   20080.860089
17723   746468   10259   20046.777165
13387   746468   10259   19999.876226
14337   746468   10259   19939.053350
14493   746468   10259   19895.906723
14640   746468   10259   19837.417385
28731   746468   10259   19798.403695
17917   746468   10259   19743.048580
23002   746468   10259   19694.318442
16584   746468   10259   19678.761280
23709   746468   10259   19702.510808
22612   746468   10259   19678.785602
31445   746468   10259   19688.065470
20736   746468   10259   19712.083513
27151   746468   10259   19723.735362
15461   746468   10259   19716.525378
18263   746468   10259   19708.227718
22577   746468   10259   19676.787315
24224   746468   10205   19724.900838
24318   746468   10205   19696.936510
19449   746468   10205   19654.275376
11867   746468   10205   19610.481472
17765   746468   10205   19614.720779
17123   746468   10205   19598.606823
17161   746468   10205   19580.535836
15979   746468   10205   19555.700906
16272   746468   10205   19519.038316
14786   746468   10205   19484.352857
13921   746468   10205   19438.406053
15428   746468   10205   19406.380556
13615   746468   10205   19372.373068
15497   746468   10205   19327.090758
15288   746468   10205   19289.611962
14321   746468   10205   19242.547876
14463   746468   10205   19193.247248
14143   746468   10205   19153.082394
13990   746468   10205   19101.557992
12581   746468   10205   19043.045534
12272   746468   10205   18983.771376
12218   746468   10205   18927.188674
12019   746468   10205   18868.654454
11860   746468   10205   18811.758210
13509   746468   10205   18757.691453
19020   746468   10205   18704.635322
12450   746468   10205   18648.933362
12415   746468   10205   18598.008074
12252   746468   10205   18543.975592
12006   746468   10205   18490.899042
14334   746468   10205   18440.698913
16554   746468   10205   18399.002272
12902   746468   10205   18352.464550
11337   746468   10205   18303.928760
14449   746468   10205   18253.792948
13152   746468   10205   18208.352252
18523   746468   10205   18195.334640
20153   746468   10205   18205.288745
19697   746468   10205   18219.494009
27390   746468   10205   18231.663673
16328   746468   10205   18225.163113
19547   746468   10205   18243.263523
14723   746468   10205   18235.514378
14532   746468   10205   18217.017440
14145   746468   10205   18198.497569
25817   746468   10205   18207.732252
31916   746468   10205   18256.636367
22595   746468   10205   18315.003380
26530   746468   10205   18363.447924
12833   746468   10205   18367.350516
12601   746468   10205   18331.653061
13109   746468   10205   18346.268050
37338   746468   10205   18384.348962
25506   746468   10205   18419.452108
28228   746468   10205   18457.273649
24902   746468   10205   18496.164464
25295   746468   10205   18535.727953
22151   746468   10205   18574.060698
24137   746468   10205   18611.035703
19487   746468   10205   18647.565948
22530   746468   10205   18681.985721
23782   746468   10205   18719.879958
35814   746468   10205   18756.292027
20466   746468   10205   18794.097931
21064   746468   10205   18827.230123
13969   746468   10205   18861.716991
22190   746468   10205   18895.212378
18709   746468   10205   18927.110252
15506   746468   10205   18955.824718
19247   746468   10205   18978.558215
16423   746468   10205   18992.754523
18439   746468   10205   19004.831797
21369   746468   10205   19019.934261
21889   746468   10205   19031.696845
20008   746468   10205   19047.239823
14532   746468   10205   19048.226950
29118   746468   10205   19027.261339
25091   746468   10205   19025.875299
20541   746468   10205   19007.827603
12267   746468   10205   19001.880675
12021   746468   10205   18973.283741
10887   746468   10091   18940.049381
10898   746468   10091   18906.513315
11101   746468   10017   18879.381133
11031   746468   10017   18849.372017
10899   746468   9954   18820.765062
10703   746468   9954   18792.430603
10817   746468   9954   18763.134157
29317   746468   9954   18746.140766
10712   746468   9954   18723.405905
11784   746468   9954   18685.768616
15012   746468   9954   18666.616411
11533   746468   9954   18666.869070
32905   746468   9954   18662.567285
10744   746468   9954   18648.380447
11009   746468   9954   18608.060739
11275   746468   9954   18569.157596
11017   746468   9954   18533.948422
13930   746468   9954   18514.471837
24350   746468   9954   18504.096066
10965   746468   9954   18493.245739
13301   746468   9954   18489.109114
13185   746468   9954   18464.532791
24158   746468   9954   18477.028985
29545   746468   9954   18480.955241
11258   746468   9954   18470.796717
11520   746468   9954   18459.740077
16938   746468   9954   18456.639299
17986   746468   9954   18477.954733
11168   746468   9954   18474.098115
22009   746468   9954   18484.180051
20480   746468   9954   18502.093688
19715   746468   9954   18502.689821
31724   746468   9954   18521.668007
11336   746468   9954   18505.989753
30871   746468   9954   18483.861997
15042   746468   9954   18460.707145
11707   746468   9954   18436.621360
12401   746468   9954   18410.006116
12981   746468   9954   18382.537321
20222   746468   9954   18359.512242
11208   746468   9954   18343.922245
11207   746468   9954   18310.251501
11230   746468   9954   18275.826389
16268   746468   9954   18250.485327
11783   746468   9954   18223.824130
11174   746468   9954   18190.744623
11361   746468   9954   18157.688229
28202   746468   9954   18126.815062
11360   746468   9954   18099.605535
10974   746468   9954   18067.635045
11369   746468   9954   18037.829254
11597   746468   9954   18010.326619
12314   746468   9954   17991.816839
12486   746468   9954   17964.067025
12063   746468   9954   17936.932873
12159   746468   9954   17910.464881
11903   746468   9954   17888.501442
11975   746468   9954   17862.172578
12047   746468   9954   17835.376430
11833   746468   9954   17811.340730
11773   746468   9954   17796.052925
11738   746468   9954   17769.773399
11871   746468   9954   17744.185968
20360   746468   9954   17718.279269
11636   746468   9954   17698.028183
11595   746468   9954   17672.089352
11514   746468   9954   17646.390838
11579   746468   9954   17621.078077
12003   746468   9954   17605.925015
11584   746468   9954   17580.867839
11737   746468   9954   17556.053749
11797   746468   9954   17531.200422
11468   746468   9954   17512.666233
12075   746468   9954   17488.280754
11771   746468   9954   17463.851790
12065   746468   9954   17440.870465
11670   746468   9954   17427.161384
11880   746468   9954   17403.415313
11567   746468   9954   17380.191251
11992   746468   9954   17356.674329
11718   746468   9954   17338.994230
11425   746468   9954   17315.788498
12057   746468   9954   17292.819624
11706   746468   9954   17269.816852
11336   746468   9954   17256.580536
11449   746468   9954   17234.704425
11755   746468   9954   17212.320826
11980   746468   9954   17190.053329
12083   746468   9954   17173.387044
11765   746468   9954   17151.286085
11686   746468   9954   17129.425762
11782   746468   9954   17107.711366
11729   746468   9954   17098.009439
11282   746468   9954   17076.547863
11777   746468   9954   17055.239653
11440   746468   9954   17033.953987
11728   746468   9954   17019.713862
11681   746468   9954   16998.834224
11613   746468   9954   16978.134207
11993   746468   9954   16957.668632
11614   746468   9954   16946.007376
11580   746468   9954   16925.833153
