Act   Max   Min   Avg
0   0   0   -nan
9702   5914665   8394   123592.988942
28999   9682488   8394   285150.395339
24698   9682488   8394   412086.778931
54782   9847356   8394   468106.869474
51493   451297373   8394   20045973.795640
76992   451297373   8394   16913575.865976
42395   451297373   8394   14596050.103093
19760   451297373   8394   12821797.915168
45560   451297373   8394   11445374.942285
41131   451297373   8394   10336585.019831
39702   451297373   8394   9424263.322406
42197   451297373   8394   8660377.153984
24425   451297373   8394   8011360.969820
38488   451297373   8394   7452995.211871
313262   451297373   8394   6996446.248659
29666   451297373   8394   6668473.738797
39792   451297373   8394   6394300.284806
45731   451297373   8394   6105883.728793
38146   451297373   8394   5854555.300218
14914   451297373   8394   5567884.708021
16497   451297373   8394   5308529.372089
37999   451297373   8394   5079537.487844
37913   451297373   8394   4897225.385817
13603   451297373   8394   4715732.508973
30307   451297373   8394   4563166.851287
53702   451297373   8394   4393599.580709
50849   451297373   8394   4242736.891966
46476   451297373   8394   4113752.255751
49642   451297373   8394   3995898.785336
44710   451297373   8394   3866479.950985
25345   451297373   8394   3744354.318710
29427   451297373   8394   3644009.843922
26381   451297373   8394   3550301.605472
39839   451297373   8394   3451230.401131
33055   451297373   8394   3371837.556163
41408   451297373   8394   3290428.798457
38677   451297373   8394   3209721.480804
31820   451297373   8394   3131989.258225
40850   451297373   8394   3053292.207990
59142   451297373   8394   2978503.050645
56675   451297373   8394   2908653.487893
51236   451297373   8394   2840865.330615
52653   451297373   8394   2776659.402901
45273   451297373   8394   2714786.090472
12028   451297373   8394   2655345.266506
10477   451297373   8394   2598495.468737
11671   451297373   8394   2544086.750597
10863   451297373   8394   2491784.703360
47233   451297373   8394   2451133.134358
15374   451297373   8394   2402736.456344
22499   451297373   8394   2356297.591536
120956   451297373   8394   2311836.166189
23637   451297373   8394   2269039.506229
17645   451297373   8394   2227779.193584
11376   451297373   8307   2187987.351995
21423   451297373   8137   2149490.388068
15828   451297373   8137   2112397.359412
18094   451297373   8137   2076584.483260
24498   451297373   8137   2041963.354333
24935   451297373   8137   2008657.541598
11894   451297373   8137   1976425.138900
36711   451297373   8137   1945112.525705
10026   451297373   8137   1914917.453802
10516   451297373   8137   1885413.104987
13818   451297373   8137   1856798.963830
9828   451297373   8137   1829035.183069
9347   451297373   8137   1802103.718750
12675   451297373   8042   1775961.887194
37502   451297373   8042   1750658.145419
8699   451297373   8042   1725952.762218
10121   451297373   8042   1702052.875140
30878   451297373   8042   1678834.999751
13790   451297373   8042   1656274.327404
27939   451297373   8042   1634468.589422
9367   451297373   8042   1612981.150946
9017   451297373   8042   1592006.753738
9016   451297373   8042   1571643.058146
9124   451297373   8042   1551710.856701
29741   451297373   8042   1532423.832396
26805   451297373   8042   1513460.212622
25332   451297373   8042   1495216.876969
28916   451297373   8042   1477506.250771
17869   451297373   8042   1460178.529540
28935   451297373   8042   1442805.267033
24144   451297373   8042   1426484.091711
28007   451297373   8042   1410158.055554
25842   451297373   8042   1394360.502444
43934   451297373   8042   1378971.091457
45253   451297373   8042   1363961.487921
51826   451297373   8042   1349192.844569
30508   451297373   8042   1334804.666353
32191   451297373   8042   1320707.931674
23557   451297373   8042   1306920.362061
17943   451297373   8042   1293390.957916
37072   451297373   8042   1280450.017236
20056   451297373   8042   1267472.564213
17737   451297373   8042   1254720.956707
25919   451297373   8042   1242258.044306
36358   451297373   8042   1230030.883824
23060   451297373   8042   1218067.913502
14073   451297373   8042   1206335.232739
14244   451297373   8042   1194839.756192
22700   451297373   8042   1183642.304254
23918   451297373   8042   1172604.057154
41404   451297373   8042   1161774.909437
13366   451297373   8042   1151129.618771
49705   451297373   8042   1140652.659673
10416   451297373   8042   1130554.541846
22450   451297373   8042   1120435.860017
32351   451297373   8042   1110488.739294
33777   451297373   8042   1100734.129192
20259   451297373   8042   1091168.940864
29770   451297373   8042   1081737.259488
18350   451297373   8042   1072490.402955
13465   451297373   8042   1063369.364221
19465   451297373   8042   1054457.534755
14648   451297373   8042   1045677.331351
18091   451297373   8042   1037032.590940
21367   451297373   8042   1028684.554387
32864   451297373   8042   1020330.776419
23272   451297373   8042   1012139.780848
23278   451297373   8042   1004102.483250
22601   451297373   8042   996188.896577
18902   451297373   8042   988643.964401
19852   451297373   8042   980953.280885
26116   451297373   8042   973358.976604
15450   451297373   8042   965891.068806
10593   451297373   8042   958544.122606
48637   451297373   8042   951325.893405
23020   451297373   8042   944218.248637
33815   451297373   8042   937259.582775
26282   451297373   8042   930345.807927
37038   451297373   8042   923532.851260
33642   451297373   8042   916819.092368
14884   451297373   8042   910204.516630
12158   451297373   8042   903667.078291
11545   451297373   8042   897227.521246
18295   451297373   8042   890879.045994
10089   451297373   8042   884612.426601
9476   451297373   8042   878444.346183
40111   451297373   8042   872397.287040
9448   451297373   8042   866428.020500
26025   451297373   8042   860674.322035
11949   451297373   8042   854886.881098
11211   451297373   8042   849148.614597
19510   451297373   8042   843494.789294
19931   451297373   8042   837924.355332
11287   451297373   8042   832426.861917
49229   451297373   8042   827056.708687
25276   451297373   8042   821807.626928
42301   451297373   8042   816625.843100
25026   451297373   8042   811702.750141
13378   451297373   8042   806593.766543
32882   451297373   8042   801520.385113
34217   451297373   8042   796609.279868
50926   451297373   8042   791779.470014
35779   451297373   8042   787001.667675
52553   451297373   8042   782278.976735
47194   451297373   8042   777632.919512
72519   451297373   8042   773103.308496
45479   451297373   8042   768555.700915
31106   451297373   8042   764053.071765
44855   451297373   8042   759619.006255
39777   451297373   8042   755234.825642
46919   451297373   8042   750914.220005
17777   451297373   8042   746635.775572
44580   451297373   8042   742415.821837
37064   451297373   8042   738233.613616
50923   451297373   8042   734101.604763
36507   451297373   8042   730022.692650
47077   451297373   8042   725966.464062
46517   451297373   8042   721951.416566
28038   451297373   8042   718005.114711
29100   451297373   8042   714099.450655
45304   451297373   8042   710249.093818
44571   451297373   8042   706558.160828
31761   451297373   8042   702793.716993
41492   451297373   8042   699075.970442
39559   451297373   8042   695401.826400
46753   451297373   8042   691844.782588
45781   451297373   8042   688278.074836
23870   451297373   8042   684704.650645
21645   451297373   8042   681341.516931
21508   451297373   8042   677811.785890
23968   451297373   8042   674354.340455
21190   451297373   8042   670906.066606
20257   451297373   8042   667446.093177
19751   451297373   8042   664050.943030
19853   451297373   8042   660675.545165
20309   451297373   8042   657327.663802
18485   451297373   8042   654118.002508
27541   451297373   8042   650853.165694
19743   451297373   8042   647664.911943
21267   451297373   8042   644442.649969
26874   451297373   8042   641257.934584
26932   451297373   8042   638101.831586
19369   451297373   8042   634979.594933
31163   451297373   8042   631883.661512
29146   451297373   8042   628822.998546
17371   451297373   8042   625792.634123
11820   451297373   8042   622887.848534
14167   451297373   8042   619920.312469
9819   451297373   8042   617051.358833
13280   451297373   8042   614130.745971
12789   451297373   8042   611234.204111
13765   451297373   8042   608359.464675
12617   451297373   8042   605506.207191
23151   451297373   8042   602678.708332
12603   451297373   8042   599885.863003
13917   451297373   8042   597120.836258
21817   451297373   8042   594380.980165
14593   451297373   8042   591806.453783
25079   451297373   8042   589122.621807
10225   451297373   8042   586460.124884
16960   451297373   8042   583830.420253
11200   451297373   8042   581231.512068
17221   451297373   8042   578652.106173
13727   451297373   8042   576096.309351
10821   451297373   8042   573558.771015
10666   451297373   8042   571045.138907
19670   451297373   8042   568552.299093
22299   451297373   8042   566157.925589
11943   451297373   8042   563703.111920
11501   451297373   8042   561270.423249
32575   451297373   8042   558856.788177
43235   451297373   8042   556463.227796
11430   451297373   8042   554092.934802
10820   451297373   8042   551741.240508
22001   451297373   8042   549411.819211
11995   451297373   8042   547108.646458
10979   451297373   8042   544826.733371
11846   451297373   8042   542629.567595
11834   451297373   8042   540386.035565
27112   451297373   8042   538161.242712
10784   451297373   8042   535979.185407
34708   451297373   8042   533813.991337
17541   451297373   8042   531663.555524
25797   451297373   8042   529539.110830
50726   451297373   8042   527466.246286
40164   451297373   8042   525416.197869
37829   451297373   8042   523375.154154
27961   451297373   8042   521358.409536
37096   451297373   8042   519390.422410
39201   451297373   8042   517445.285501
18386   451297373   8042   515481.372259
32826   451297373   8042   513601.716820
22449   451297373   8042   511741.911743
