Act   Max   Min   Avg
0   0   0   -nan
32870   114266   12479   28499.603397
34956   114266   12479   28009.447276
29467   114266   11644   27049.042319
21377   114266   11644   27683.575705
21481   142420   11644   27409.885275
24198   142420   11644   27210.996344
29886   142420   11644   27576.237138
21154   142420   11644   27522.721820
53052   142420   11644   27251.324390
37105   142420   11644   27606.354092
28505   142420   11644   27912.681847
27059   142420   11644   28089.936154
18046   142420   11644   28170.035983
29250   234182   11644   28394.007335
29500   234182   11644   28580.196849
16951   234182   11644   28673.264182
33817   234182   11644   28722.877362
31665   234182   11644   28795.051768
36132   234182   11644   28919.336869
33573   234182   11644   29038.568777
31049   234182   11644   29075.021717
31358   234182   11644   29176.161911
29651   234182   11644   29271.665148
34475   234182   11644   29354.387098
29586   234182   11644   29382.687218
33992   234182   11644   29361.226706
33101   234182   11644   29424.472991
30253   234182   11644   29494.531144
20063   234182   11644   29524.892744
31971   234182   11644   29567.546952
35402   234182   11644   29624.948763
29168   234182   11644   29683.361631
35577   234182   11644   29701.918432
34158   234182   11644   29711.648009
54349   234182   11644   29740.242896
32980   234182   11644   29767.496713
31392   234182   11644   29793.070143
33959   234182   11644   29794.022469
31363   234182   11644   29837.931042
32729   234182   11644   29873.069708
34864   234182   11644   29901.441649
31212   234182   11644   29882.605141
30273   234182   11644   29912.513251
33620   234182   11644   29943.424693
33249   234182   11644   29972.983842
33162   234182   11644   29965.352369
31731   234182   11644   29980.540740
19774   234182   11644   30001.683259
21212   234182   11644   30022.286128
33084   234182   11644   29984.240555
30884   234182   11644   30004.431691
33895   234182   11644   30021.586322
35181   234182   11644   30048.067721
31180   234182   11644   30039.303759
24358   234182   11644   30019.034383
32448   234182   11644   30008.158038
34534   234182   11644   30028.969539
31530   234182   11644   30012.990285
35754   234182   11644   30014.077520
24610   234182   11644   30030.427551
21493   234182   11644   30048.429608
19972   234182   11644   30043.677392
31987   234182   11644   30052.788529
33882   234182   11644   30066.103867
30722   234182   11644   30081.740498
31306   234182   11644   30048.471656
23997   234182   11644   29980.207104
25284   234182   11644   29915.650740
30203   234182   11644   29858.325727
19749   234182   11644   29788.831411
27428   234182   11644   29727.225580
27307   234182   11644   29677.545511
18479   234182   11644   29638.404401
30426   234182   11644   29590.838250
25263   234182   11644   29535.102636
21903   234182   11644   29495.872267
17381   234182   11644   29456.969808
19508   234182   11644   29411.707093
28380   234182   11644   29371.977604
22124   234182   11644   29350.348143
28034   234182   11644   29335.606033
23812   234182   11644   29313.048942
23129   234182   11644   29286.923865
31078   234182   11644   29281.125282
29464   234182   11644   29279.520527
30555   234182   11644   29276.002311
30532   234182   11644   29261.257270
33144   234182   11644   29265.964021
33778   234182   11644   29269.094639
23289   234182   11644   29270.541301
29108   234182   11644   29253.226239
30479   234182   11644   29261.263910
32244   234182   11644   29271.895056
29755   234182   11644   29280.925425
30654   234182   11644   29275.280187
29219   234182   11644   29287.108992
35177   234182   11644   29299.177792
23048   234182   11644   29311.311658
31640   234182   11644   29296.697029
36638   234182   11644   29307.918624
33355   234182   11644   29319.232498
32592   234182   11644   29333.037536
28975   234182   11644   29329.046463
31419   234182   11644   29341.080075
30292   234182   11644   29350.644028
28700   234182   11644   29361.126806
30581   234182   11644   29347.290641
31066   234182   11644   29357.533436
28497   234182   11644   29367.613347
22139   234182   11644   29363.534845
29244   234182   11644   29358.472461
33325   234182   11644   29369.938903
29516   234182   11644   29381.397556
33088   234182   11644   29393.266588
21094   234182   11644   29388.217880
29925   234182   11644   29392.747778
31091   234182   11644   29402.613829
29482   234182   11644   29411.752413
19993   234182   11644   29409.679652
34085   234182   11644   29419.192107
33389   234182   11644   29428.474558
21104   234182   11644   29439.326600
30191   234182   11644   29439.466277
21014   234182   11644   29439.004745
29002   234182   11644   29449.517481
44059   234182   11644   29459.617852
16178   234182   11644   29464.378209
35097   234182   11644   29467.146132
33110   234182   11644   29475.493945
30518   234182   11644   29484.672332
21571   234182   11644   29487.919609
28652   234182   11644   29483.329784
33153   234182   11644   29476.300427
34743   234182   11644   29485.474211
29971   234182   11644   29493.763450
27961   234182   11644   29493.280653
26799   234182   11644   29502.365338
30115   234182   11644   29509.756833
31106   234182   11644   29516.670696
32263   234182   11644   29509.196671
31369   234182   11644   29517.927487
29126   234182   10584   29520.808228
30320   234182   10565   29526.339460
32272   234182   10565   29522.293053
30484   234182   10565   29527.154663
31608   234182   10565   29533.685798
26574   234182   10565   29540.416003
33601   234182   10565   29530.663305
19372   234182   10565   29539.126772
32030   234182   10565   29546.220999
31300   234182   10565   29552.680106
31425   234182   10565   29549.909793
29334   234182   10565   29556.839269
29260   234182   10565   29564.507155
34557   234182   10565   29572.388753
33019   234182   10565   29562.366667
32814   234182   10565   29568.318339
31601   234182   10565   29574.504761
32178   234182   10565   29579.979340
30896   234182   10565   29577.803080
29400   234182   10565   29585.079751
35981   234182   10565   29592.505853
29925   234182   10565   29601.735627
18484   234182   10565   29601.068914
