Act   Max   Min   Avg
0   0   0   -nan
11856   176708   11366   11955.800520
12246   176708   11366   12030.011237
11975   176708   11249   12054.049778
12918   176708   11249   12053.230788
12160   176708   11249   12054.880210
11971   176708   11211   12085.914712
11912   334749   11109   12122.333404
12294   334749   11109   12137.856942
11991   334749   11109   12140.064386
11793   334749   11109   12132.133227
11687   334749   11109   12129.843400
11958   334749   11109   12126.463259
12487   334749   11109   12123.749081
11955   334749   11109   12125.053763
13245   334749   11109   12126.039058
12442   334749   11109   12126.727289
11947   334749   11097   12130.208126
12830   334749   11097   12138.366471
16301   334749   10965   12154.005672
16878   334749   10965   12236.214017
16156   334749   10965   12436.375769
15412   376411   10965   12596.540683
14822   376411   10965   12721.586942
14760   376411   10965   12824.340165
20761   376411   10965   12905.931620
16875   376411   10965   12970.201342
13974   376411   10965   13018.597053
13598   376411   10965   13055.876530
14447   376411   10965   13081.976663
12980   376411   10965   13099.847237
24798   376411   10965   13110.983429
12764   376411   10965   13117.921398
13010   376411   10965   13123.467081
12618   376411   10965   13125.034582
12920   376411   10965   13125.141114
13624   376411   10965   13120.876786
12765   755686   10965   13122.657623
12361   755686   10965   13111.908530
13505   755686   10965   13102.324355
12915   755686   10965   13094.695728
12277   755686   10965   13081.767403
11987   755686   10965   13065.486602
13000   755686   10965   13054.140425
12259   755686   10965   13044.123433
11983   755686   10965   13030.932503
12141   755686   10965   13016.289206
12049   755686   10965   13003.155557
12613   755686   10965   12992.657087
12895   755686   10965   12981.521860
12201   755686   10965   12969.165173
13014   755686   10965   12959.048545
12316   755686   10965   12949.053498
12390   755686   10965   12936.375451
11842   755686   10965   12923.324163
11621   755686   10965   12911.083349
11964   755686   10965   12901.254957
11952   755686   10965   12892.321394
12403   755686   10965   12885.770162
11772   755686   10965   12874.220450
12524   755686   10965   12863.696515
12037   755686   10965   12854.689617
11569   755686   10965   12842.472620
11967   755686   10965   12830.921597
13268   755686   10965   12819.575662
18725   755686   10965   12808.215077
11816   755686   10965   12796.725170
11703   755686   10965   12785.681172
11887   755686   10965   12774.988868
11801   755686   10965   12765.043250
13420   755686   10965   12756.265231
11899   755686   10965   12749.306980
12181   755686   10965   12740.082569
11695   755686   10965   12729.309086
12052   755686   10965   12718.220119
12178   755686   10965   12708.899659
11969   755686   10965   12699.080011
11751   755686   10965   12691.282890
11751   755686   10965   12683.791398
11904   755686   10965   12676.712581
12008   755686   10965   12669.834451
12402   755686   10965   12664.311724
11964   755686   10965   12658.046713
12471   755686   10965   12651.695975
12061   755686   10965   12645.242793
11676   755686   10965   12639.479362
12226   755686   10965   12633.280991
11816   755686   10965   12626.850203
11975   755686   10965   12620.923020
19597   755686   10965   12614.534860
11759   755686   10965   12607.968033
11758   755686   10965   12601.815399
12813   755686   10965   12595.738065
11767   755686   10965   12590.297712
11866   755686   10965   12586.532253
12099   755686   10965   12581.607330
11939   755686   10965   12576.591399
12382   755686   10965   12572.324053
12402   755686   10965   12567.209390
11735   755686   10965   12562.566509
14511   755686   10965   12558.035694
11819   755686   10965   12553.636639
12340   755686   10965   12549.404618
12060   755686   10965   12546.210106
11871   755686   10965   12542.402093
12182   755686   10965   12538.473911
14610   755686   10965   12534.917489
12931   755686   10965   12531.289047
12003   755686   10965   12527.798718
11949   755686   10965   12524.442612
12844   755686   10965   12520.984207
18188   755686   10965   12517.122591
27352   755686   10965   12513.459475
12685   755686   10965   12510.261441
12311   755686   10965   12508.287891
12228   755686   10965   12507.083830
12118   755686   10965   12505.353680
12844   755686   10965   12500.710406
11841   755686   10965   12494.980975
11963   755686   10965   12489.907006
11677   755686   10965   12485.000520
11409   755686   10965   12480.368727
11431   755686   10965   12475.979086
11878   755686   10965   12471.848723
11967   755686   10965   12468.080305
12310   755686   10965   12464.094498
11515   755686   10965   12459.989231
12293   755686   10965   12458.364593
11995   755686   10965   12458.183173
12274   755686   10965   12457.510658
11835   755686   10965   12454.720086
12447   755686   10965   12452.632482
11762   755686   10965   12450.257907
12660   755686   10965   12446.609934
11623   755686   10965   12443.485132
12699   755686   10965   12440.572733
13237   755686   10965   12437.009083
11970   755686   10965   12433.605949
12091   755686   10965   12430.465764
11745   755686   10965   12427.288431
11588   755686   10965   12424.585924
11597   755686   10965   12422.265495
12224   755686   10965   12420.290975
11951   755686   10965   12417.872040
12440   755686   10965   12415.019519
12392   755686   10965   12413.323635
11565   755686   10965   12412.168975
12038   755686   10965   12410.105233
11695   755686   10965   12408.123643
12017   755686   10965   12406.455880
11961   755686   10965   12404.839125
12151   755686   10965   12403.073198
11900   755686   10965   12401.200342
12048   755686   10965   12400.031485
12147   755686   10965   12398.401894
14191   755686   10965   12397.122434
12020   755686   10965   12396.239396
12237   755686   10965   12395.118139
12029   755686   10965   12393.836501
12140   755686   10829   12392.732981
11991   755686   10829   12391.634393
12317   755686   10829   12390.581561
11913   755686   10829   12389.918878
12027   755686   10829   12389.011612
12295   755686   10829   12388.057850
12724   755686   10829   12387.262770
12238   755686   10829   12386.488634
11799   755686   10829   12385.759992
11952   755686   10829   12385.157458
12866   755686   10829   12384.529383
11920   755686   10829   12383.833953
12065   755686   10829   12383.096181
12027   755686   10829   12382.425015
12417   755686   10829   12381.581324
12326   755686   10829   12380.893706
12458   755686   10829   12380.133696
11800   755686   10829   12379.391688
11988   755686   10829   12378.544579
12497   755686   10829   12377.698394
12178   755686   10829   12376.977266
12064   755686   10829   12376.246707
12919   755686   10829   12379.565503
12707   755686   10829   12383.402925
12712   755686   10829   12386.974712
12316   755686   10829   12390.270547
13288   755686   10829   12393.249570
12405   755686   10829   12396.188950
12367   755686   10829   12399.291582
12489   755686   10829   12401.773948
12465   755686   10829   12404.004160
12496   755686   10829   12406.038117
12978   755686   10829   12408.023821
13966   755686   10829   12409.698412
12760   755686   10829   12411.239382
13286   755686   10829   12412.453637
12469   755686   10829   12413.669808
12304   755686   10829   12414.726803
12780   755686   10829   12415.725938
12784   755686   10829   12416.435394
12814   755686   10829   12417.236568
12993   755686   10829   12417.222912
12742   755686   10829   12417.059781
12109   755686   10829   12417.308928
12525   755686   10829   12417.603255
12939   755686   10829   12418.011477
12848   755686   10829   12418.519445
12724   755686   10829   12419.078647
11919   755686   10829   12419.671416
12775   755686   10829   12420.141492
13031   755686   10829   12420.649052
12433   755686   10829   12421.287281
12646   755686   10829   12421.911906
13054   755686   10829   12422.601009
13096   755686   10829   12422.978300
12866   755686   10829   12423.103408
12556   755686   10829   12423.277851
17841   755686   10829   12423.565903
13090   755686   10829   12423.558869
12889   755686   10829   12423.680369
12244   755686   10829   12423.740132
12655   755686   10829   12423.780006
12528   755686   10829   12423.868095
12456   755686   10829   12423.848808
12975   755686   10829   12423.895948
12901   755686   10829   12424.012677
11927   755686   10829   12424.008396
12496   755686   10829   12423.985405
12294   755686   10829   12423.972074
12616   755686   10829   12423.869218
12129   755686   10829   12423.806117
11960   755686   10829   12423.530055
12450   755686   10829   12423.518690
12648   755686   10829   12423.394725
12869   755686   10829   12423.197389
12034   755686   10829   12423.137550
12653   755686   10829   12423.046116
12898   755686   10829   12423.104697
11863   755686   10829   12423.189094
11955   755686   10829   12423.307264
12035   755686   10829   12423.396574
12662   755686   10829   12423.494246
11901   755686   10829   12422.762700
11895   755686   10829   12421.711569
12145   755686   10829   12420.700355
11968   755686   10829   12419.559415
11545   755686   10829   12417.630981
12473   755686   10829   12415.753670
12777   755686   10829   12413.754736
11210   755686   10829   12412.171871
12603   755686   10829   12410.983345
11830   755686   10829   12409.853969
12609   755686   10829   12408.434454
12147   755686   10829   12407.371821
11897   755686   10829   12406.398699
12282   755686   10829   12405.462960
12657   755686   10829   12404.493984
11741   755686   10829   12403.718587
12195   755686   10829   12402.980742
12236   755686   10829   12402.290389
11715   755686   10829   12401.366013
11692   755686   10829   12400.708154
12812   755686   10829   12400.204025
12046   755686   10829   12399.687764
12837   755686   10829   12399.057290
12572   755686   10829   12398.594267
11801   755686   10829   12398.217201
12038   755686   10829   12397.862363
12753   755686   10829   12397.457955
12000   755686   10829   12397.022741
12727   755686   10829   12396.649968
11964   755686   10829   12396.324840
11867   755686   10829   12395.889844
11821   755686   10829   12395.539151
12572   755686   10829   12395.253781
12170   755686   10829   12395.120188
12353   755686   10829   12394.807100
12432   755686   10829   12394.435039
11703   755686   10829   12394.172524
11969   755686   10829   12393.971117
11839   755686   10829   12393.737020
11910   755686   10829   12393.525989
12681   755686   10829   12393.403580
12485   755686   10829   12393.272838
12090   755686   10829   12393.046493
12842   755686   10829   12392.684993
11846   755686   10829   12392.543168
12285   755686   10829   12392.510475
12268   755686   10829   12392.421069
12590   755686   10829   12392.201887
12916   755686   10829   12392.118913
12443   755686   10829   12392.024320
11896   755686   10829   12391.961823
12374   755686   10829   12391.713473
12632   755686   10829   12391.676731
11939   755686   10829   12391.667525
12146   755686   10829   12391.662577
11631   755686   10829   12391.467242
12347   755686   10829   12391.427068
11915   755686   10829   12391.455067
12047   755686   10829   12391.466701
12196   755686   10829   12391.204394
12198   755686   10829   12391.160142
11632   755686   10829   12391.103540
12612   755686   10829   12391.073377
12251   755686   10829   12390.920019
12919   755686   10829   12390.943678
11988   755686   10829   12390.936749
12663   755686   10829   12390.963214
12622   755686   10829   12390.608026
12837   755686   10829   12390.745484
13314   755686   10829   12392.510356
12683   755686   10829   12394.323818
12160   755686   10829   12395.634181
12395   755686   10829   12396.961826
13166   755686   10829   12398.226526
12945   755686   10829   12399.416893
12290   755686   10829   12400.313113
12059   755686   10829   12401.306883
12170   755686   10829   12401.990682
11932   755686   10829   12402.906030
12260   755686   10829   12403.688418
12952   755686   10829   12404.621102
12595   755686   10829   12405.497383
12179   755686   10829   12406.368028
13022   755686   10829   12406.997157
12033   755686   10829   12407.597659
12154   755686   10829   12408.125664
11828   755686   10829   12408.773554
12118   755686   10829   12409.324370
12221   755686   10829   12409.916100
12704   755686   10829   12410.554204
12972   755686   10829   12411.160017
12204   755686   10829   12411.637664
12219   755686   10829   12412.000757
12273   755686   10829   12412.482868
11862   755686   10829   12412.949558
12459   755686   10829   12413.481973
12570   755686   10829   12413.790443
13077   755686   10829   12414.206608
12826   755686   10829   12414.599990
12282   755686   10829   12414.936688
12087   755686   10829   12415.141322
12326   755686   10829   12415.579456
12886   755686   10829   12415.934966
12039   755686   10829   12416.252554
12413   755686   10829   12416.460845
12137   755686   10829   12416.761353
11986   755686   10829   12417.057203
12307   755686   10829   12417.453550
12245   755686   10829   12417.500929
12743   755686   10829   12417.722067
12668   755686   10829   12417.978779
12799   755686   10829   12418.213891
11629   755686   10829   12418.333647
12510   755686   10829   12418.658940
13178   755686   10829   12418.937146
12047   755686   10829   12419.224883
12193   755686   10829   12419.256176
12961   755686   10829   12419.507716
11978   755686   10829   12419.722206
12011   755686   10829   12419.998548
12692   755686   10829   12420.126136
13283   755686   10829   12420.365969
12942   755686   10829   12420.620399
12692   755686   10829   12420.913598
11701   755686   10829   12420.921047
12851   755686   10829   12421.101727
12685   755686   10829   12421.370827
11937   755686   10829   12421.571337
12318   755686   10829   12421.660124
12810   755686   10829   12421.879408
11948   755686   10829   12422.083858
12138   755686   10829   12422.283427
12434   755686   10829   12422.327260
12630   755686   10829   12422.011675
12442   755686   10829   12421.759902
12681   755686   10829   12421.513039
11616   755686   10829   12421.213687
12128   755686   10829   12421.007003
12258   755686   10829   12420.908503
11737   755686   10829   12420.779983
12922   755686   10829   12420.508101
11861   755686   10829   12420.216216
12225   755686   10829   12420.038331
12148   755686   10829   12419.878021
12530   755686   10829   12419.784201
12273   755686   10829   12419.572091
12612   755686   10829   12419.454037
12050   755686   10829   12419.357267
11948   755686   10829   12419.168076
12506   755686   10829   12418.899941
12751   755686   10829   12418.820109
11924   755686   10829   12418.755800
12661   755686   10829   12418.685696
13267   755686   10829   12418.545488
11936   755686   10829   12418.496910
12331   755686   10829   12418.456797
12999   755686   10829   12418.394834
12738   755686   10829   12418.292718
12473   755686   10829   12418.269445
11991   755686   10829   12418.254335
12148   755686   10829   12418.209113
12784   755686   10829   12418.069837
12753   755686   10829   12418.040556
11803   755686   10829   12418.088521
12936   755686   10829   12418.045711
12275   755686   10829   12417.841193
12343   755686   10829   12417.810827
11979   755686   10829   12417.777107
11895   755686   10829   12417.750786
11874   755686   10829   12417.722843
12220   755686   10829   12417.736624
12574   755686   10829   12417.747517
12587   755686   10829   12417.797851
11987   755686   10829   12417.656705
11686   755686   10829   12417.650162
12911   755686   10829   12417.726766
12048   755686   10829   12417.719829
12673   755686   10829   12417.623044
12432   755686   10829   12417.609532
11959   755686   10829   12417.621203
12396   755686   10829   12417.638047
13058   755686   10829   12417.579157
12523   755686   10829   12417.639985
12730   755686   10829   12417.702153
12857   755686   10829   12417.747246
11873   755686   10829   12417.693716
12000   755686   10829   12417.733371
12363   755686   10829   12417.765184
12256   755686   10829   12417.865725
12155   755686   10829   12417.849137
13046   755686   10829   12417.812724
12616   755686   10829   12417.864585
12569   755686   10829   12417.915132
12012   755686   10829   12417.796449
12417   755686   10829   12417.919532
12271   755686   10829   12418.023524
11626   755686   10829   12418.087721
11907   755686   10829   12418.059961
12146   755686   10829   12418.038759
12263   755686   10829   12418.088815
12285   755686   10829   12418.173504
11874   755686   10829   12418.216614
12826   755686   10829   12418.223350
12258   755686   10829   12418.347849
12727   755686   10829   12418.464233
12008   755686   10829   12418.523023
11910   755686   10829   12418.516822
12294   755686   10829   12418.609874
12432   755686   10829   12418.703195
11970   755686   10829   12418.811916
12851   755686   10829   12418.835165
11718   755686   10829   12418.927791
12529   755686   10829   12419.004992
11943   755686   10829   12419.092345
12524   755686   10829   12419.027149
12361   755686   10829   12419.097445
12909   755686   10829   12419.181704
11896   755686   10829   12419.261093
11976   755686   10829   12419.232043
12706   755686   10829   12419.365624
12339   755686   10829   12419.417395
12116   755686   10829   12419.472611
12917   755686   10829   12419.372421
11862   755686   10829   12419.422004
12297   755686   10829   12419.487142
12796   755686   10829   12419.662345
12575   755686   10829   12419.672760
12837   755686   10829   12419.773817
12627   755686   10829   12419.829953
14088   755686   10829   12419.876266
