Act   Max   Min   Avg
0   0   0   -nan
12587   198443   10950   12101.060766
12892   198443   10654   12111.835798
11711   198443   10652   12054.318774
12771   198443   10652   12020.892508
12731   198443   10652   12027.626314
11850   228471   10652   12037.823951
11869   228471   10652   12044.765598
12271   228471   10652   12051.432457
11775   228471   10652   12053.970464
12058   228471   10577   12049.052256
12233   228471   10577   12052.301894
11821   228471   10577   12050.488618
11812   228471   10577   12049.441632
15225   228471   10577   12051.335519
13327   228471   10577   12054.796222
12390   228471   10577   12056.752743
12352   228471   10577   12061.803543
14918   228471   10577   12068.650667
11956   228471   10577   12083.251879
18080   228471   10577   12133.375073
15452   239686   10577   12329.997433
14329   452642   10577   12461.911090
14578   452642   10577   12553.372004
13145   452642   10577   12624.923842
13709   452642   10577   12681.842346
13762   452642   10577   12724.553402
12602   452642   10577   12758.343871
18358   452642   10577   12783.212594
13246   452642   10577   12800.165541
13006   452642   10577   12811.450821
12776   452642   10577   12817.668653
13277   452642   10577   12821.078899
12564   452642   10577   12820.983349
12481   452642   10577   12817.397057
12292   452642   10577   12809.733751
12422   452642   10577   12799.770166
12129   452642   10577   12790.831554
12239   452642   10577   12781.047837
11961   452642   10577   12769.552849
11926   452642   10577   12760.866274
12218   452642   10577   12752.646908
11964   452642   10577   12738.472628
13797   452642   10577   12727.487988
12034   452642   10577   12718.563177
12130   452642   10577   12709.810033
12230   452642   10577   12701.552822
11837   452642   10577   12690.527661
12128   452642   10577   12679.744601
13120   452642   10577   12670.299630
12317   452642   10577   12660.261269
17503   452642   10577   12651.401490
12917   452642   10577   12638.198276
13870   452642   10577   12617.537517
11909   452642   10577   12599.320461
15968   452642   10577   12582.983949
13041   452642   10577   12571.237641
15115   452642   10577   12560.783538
11362   452642   10577   12552.196196
11564   452642   10577   12543.627511
11463   685338   10577   12540.736702
11408   685338   10577   12528.091112
11541   685338   10577   12515.046638
11891   685338   10577   12503.455456
11723   685338   10577   12496.059968
14283   685338   10577   12488.098634
11897   685338   10577   12480.306877
11607   685338   10577   12472.558320
11909   685338   10577   12464.133616
11774   685338   10577   12457.467491
11878   685338   10577   12453.246108
12372   685338   10577   12445.912781
12080   685338   10577   12438.886305
11945   685338   10577   12432.005714
11816   685338   10577   12425.304019
11707   685338   10577   12419.591588
12949   685338   10577   12413.131033
11779   685338   10577   12408.320527
11560   685338   10577   12403.424170
11682   685338   10577   12398.019945
12374   685338   10577   12393.864766
12113   685338   10577   12388.800633
12296   685338   10577   12383.883659
11819   685338   10577   12379.336067
11905   685338   10577   12375.487989
12381   685338   10577   12374.107502
12422   685338   10577   12372.305185
12024   685338   10577   12370.296146
12057   685338   10577   12368.326288
12048   685338   10577   12366.030254
12101   685338   10577   12363.644400
13134   685338   10577   12360.178306
12474   685338   10577   12356.819330
12107   685338   10577   12354.248700
12293   685338   10577   12352.133758
12607   685338   10577   12349.459291
13306   685338   10577   12347.224076
11948   685338   10577   12343.879848
12218   685338   10577   12340.434154
11672   685338   10577   12337.253818
11962   685338   10577   12334.136413
12952   685338   10577   12331.447355
12017   685338   10577   12329.326102
11775   685338   10577   12325.608138
12374   685338   10577   12321.646033
11842   685338   10577   12317.693558
13011   685338   10577   12313.993668
12375   685338   10577   12310.045172
11847   685338   10577   12307.117010
11882   685338   10577   12303.708940
11846   685338   10577   12299.953710
12051   685338   10577   12295.964844
11843   685338   10577   12292.061049
11797   685338   10577   12288.037953
12012   685338   10577   12284.085314
11772   685338   10577   12280.206870
12975   685338   10577   12276.757987
11832   685338   10577   12273.225839
12201   685338   10577   12269.562932
11740   685338   10577   12266.051153
13362   685338   10577   12262.464809
11444   685338   10577   12259.027256
12077   685338   10577   12255.515234
11588   685338   10577   12252.048271
11621   685338   10577   12248.736201
11875   685338   10577   12246.028159
12045   685338   10577   12244.032095
12212   685338   10577   12241.591684
12463   685338   10577   12239.315437
11707   685338   10577   12236.688701
11698   685338   10577   12233.399092
12779   685338   10577   12231.010547
12407   685338   10577   12229.392136
11887   685338   10577   12227.087200
12287   685338   10577   12225.399800
13240   685338   10577   12224.381565
14733   685338   10577   12222.501031
11958   685338   10577   12220.774919
11598   685338   10577   12217.795345
12987   685338   10577   12215.415565
12800   685338   10577   12214.549873
12210   685338   10577   12213.755306
11650   685338   10577   12213.106269
11962   685338   10577   12212.457702
12077   685338   10577   12211.811789
11747   685338   10577   12211.384904
12110   685338   10577   12210.611782
11808   685338   10577   12209.930929
11846   685338   10577   12209.574741
12417   685338   10577   12209.210804
13221   685338   10577   12208.951778
13774   685338   10577   12208.846954
12859   685338   10577   12208.724263
14104   685338   10577   12208.327684
12178   685338   10577   12207.826996
18385   685338   10577   12207.397847
12015   685338   10577   12207.227705
11802   685338   10577   12207.259347
13290   685338   10577   12207.004160
12664   685338   10577   12206.647852
11836   685338   10577   12206.440641
11752   685338   10577   12206.169117
12515   685338   10577   12205.872811
12189   685338   10577   12205.760469
11926   685338   10577   12205.456103
11997   685338   10577   12205.203620
11579   685338   10577   12204.969471
18016   685338   10577   12204.644170
20468   685338   10577   12204.417751
18378   685338   10577   12204.074388
12052   685338   10577   12203.921962
12022   685338   10577   12203.677224
12027   685338   10577   12203.481431
12369   685338   10577   12203.192945
