Act   Max   Min   Avg
0   0   0   -nan
11951   38548   10637   16707.679321
12706   38548   10637   16560.909045
19690   201000   10637   17429.483433
27125   201000   10637   17786.918139
14401   201000   10637   18017.925896
14574   201000   10637   17881.020398
12484   201000   10637   17848.837123
18975   201000   10637   17952.578895
24150   201000   10637   18130.251494
19899   201000   10637   18324.828907
19382   201000   10637   18344.255134
21344   201000   10637   18361.823920
35083   201000   10637   18620.848086
34266   201000   10637   18807.147155
38225   201000   10637   18981.024568
28524   201000   10637   19158.069472
28001   203875   10637   19341.336126
19238   203875   10637   19572.688728
16398   374749   10637   19835.740028
17725   374749   10637   20138.562071
26084   374749   10637   20463.015363
15060   626913   10637   20772.591662
27608   626913   10637   21158.987876
17336   626913   10637   21252.731427
22866   626913   10637   21319.740099
15325   626913   10637   21349.780749
22420   626913   10637   21367.319901
32211   626913   10637   21390.265459
24032   626913   10637   21493.024050
20482   626913   10637   21532.561944
21519   626913   10637   21527.538237
25819   626913   10637   21555.312124
18106   626913   10637   21589.888590
19603   626913   10637   21584.090579
28837   626913   10637   21541.043686
20710   626913   10637   21511.433191
17013   626913   10637   21464.636322
18500   626913   10637   21362.493809
23290   626913   10637   21343.747565
26294   626913   10637   21299.628979
14307   626913   10637   21231.942508
17835   626913   10637   21207.088511
23849   626913   10637   21200.020314
23189   626913   10637   21205.420102
29300   626913   10637   21193.137944
26871   626913   10637   21144.314906
21470   626913   10637   21133.184222
13079   626913   10637   21130.290424
19881   626913   10637   21100.799129
27431   626913   10637   21094.868423
27045   626913   10637   21169.368293
20212   626913   10637   21270.709675
26000   626913   10637   21267.301831
13914   1091905   10546   21294.486991
17295   1091905   10546   21240.219563
13403   1091905   10546   21194.882059
21424   1091905   10546   21134.305229
14037   1091905   10546   21048.239421
13836   1091905   10546   20957.315212
14923   1091905   10546   20873.153448
16295   1091905   10546   20796.854865
21350   1091905   10546   20799.293853
21945   1091905   10546   20785.461329
22147   1091905   10546   20748.527610
14524   1091905   10465   20721.555854
13181   1091905   10465   20696.999093
19865   1091905   10465   20661.489188
17138   1091905   10465   20628.178309
13252   1091905   10465   20594.895716
